@relation 'train-weka.filters.unsupervised.attribute.Remove-R11,16-17-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.MathExpression-EA*100-V-R11-weka.filters.unsupervised.attribute.MathExpression-EA-273.15-V-R1-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R1-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R2-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R3-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R4-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R5-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R6-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R7-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R8-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R9-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R10-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R11-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R12-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R13-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R1-2,5'

@attribute uwnd numeric
@attribute vwnd numeric
@attribute GST numeric
@attribute APD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute Class_WVHT {0,1,2,3}

@data
0.501006,0.635898,0.272374,0.282854,0.552201,0.850299,0
0.547284,0.464102,0.178988,0.245307,0.52956,0.856287,0
0.633803,0.361538,0.077821,0.345432,0.548428,0.898204,0
0.690141,0.394872,0.252918,0.262829,0.569811,0.892216,0
0.684105,0.34359,0.350195,0.232791,0.621384,0.904192,1
0.736418,0.420513,0.361868,0.321652,0.645283,0.886228,1
0.700201,0.407692,0.416342,0.230288,0.669182,0.886228,1
0.700201,0.333333,0.428016,0.306633,0.700629,0.91018,1
0.686117,0.333333,0.431907,0.266583,0.742138,0.898204,1
0.702213,0.397436,0.377432,0.312891,0.772327,0.898204,1
0.760564,0.446154,0.463035,0.265332,0.773585,0.904192,1
0.746479,0.482051,0.463035,0.31164,0.78239,0.916168,1
0.752515,0.469231,0.392996,0.297872,0.783648,0.916168,1
0.680081,0.512821,0.385214,0.290363,0.787421,0.886228,1
0.657948,0.574359,0.299611,0.30413,0.783648,0.898204,1
0.581489,0.569231,0.233463,0.255319,0.771069,0.91018,0
0.589537,0.579487,0.229572,0.267835,0.753459,0.916168,1
0.668008,0.605128,0.389105,0.190238,0.750943,0.934132,1
0.663984,0.653846,0.377432,0.211514,0.754717,0.964072,1
0.674044,0.733333,0.478599,0.209011,0.755975,0.97006,1
0.6499,0.751282,0.498054,0.212766,0.755975,0.94012,2
0.615694,0.805128,0.478599,0.317897,0.752201,0.952096,2
0.593561,0.78718,0.575875,0.317897,0.734591,0.946108,2
0.575453,0.789744,0.501946,0.339174,0.72956,0.958084,2
0.60161,0.758974,0.513619,0.296621,0.684277,0.952096,2
0.641851,0.61282,0.330739,0.370463,0.685535,0.928144,1
0.587525,0.45641,0.198444,0.401752,0.695597,0.892216,0
0.585513,0.374359,0.217899,0.329161,0.704403,0.892216,0
0.617706,0.335897,0.241245,0.31164,0.701887,0.91018,0
0.647887,0.338462,0.22179,0.209011,0.704403,0.916168,1
0.698189,0.4,0.307393,0.217772,0.708176,0.91018,1
0.706237,0.410257,0.373541,0.220275,0.724528,0.928144,1
0.651911,0.402564,0.225681,0.237797,0.735849,0.904192,0
0.619718,0.407692,0.217899,0.20776,0.752201,0.904192,0
0.605634,0.441026,0.136187,0.30413,0.758491,0.916168,0
0.609658,0.520513,0.155642,0.206508,0.768553,0.886228,0
0.577465,0.517949,0.163424,0.566959,0.771069,0.868263,1
0.49497,0.574359,0.178988,0.684606,0.769811,0.844311,1
0.452716,0.610257,0.237354,0.578223,0.76478,0.886228,1
0.38833,0.620513,0.280156,0.377972,0.762264,0.904192,1
0.432596,0.610257,0.377432,0.274093,0.74717,0.88024,1
0.555332,0.576923,0.202335,0.361702,0.735849,0.916168,1
0.647887,0.5,0.182879,0.428035,0.74717,0.904192,1
0.686117,0.407692,0.322957,0.332916,0.767296,0.91018,1
0.643863,0.410257,0.206226,0.366708,0.794969,0.904192,1
0.54326,0.464102,0.105058,0.409262,0.813836,0.892216,0
0.442656,0.605128,0.241245,0.386733,0.822642,0.892216,0
0.45674,0.705128,0.373541,0.246558,0.810063,0.928144,0
0.486922,0.769231,0.307393,0.225282,0.8,0.94012,1
0.521127,0.766667,0.416342,0.185232,0.788679,0.94012,1
0.513079,0.797436,0.474708,0.32791,0.784906,0.952096,1
0.472837,0.828205,0.435798,0.28786,0.768553,0.982036,2
0.476861,0.810256,0.428016,0.357947,0.749686,0.964072,2
0.474849,0.815385,0.478599,0.359199,0.730818,0.952096,2
0.486922,0.751282,0.447471,0.461827,0.708176,0.94012,2
0.43662,0.78718,0.420233,0.400501,0.689308,0.958084,2
0.492958,0.753846,0.509728,0.321652,0.659119,0.964072,2
0.458753,0.684615,0.470817,0.370463,0.645283,0.97006,1
0.472837,0.658974,0.303502,0.360451,0.646541,0.94012,1
0.466801,0.674359,0.396887,0.346683,0.620126,0.97006,1
0.635815,0.676923,0.354086,0.342929,0.61761,0.868263,2
0.567404,0.625641,0.307393,0.525657,0.631447,0.916168,2
0.569417,0.571795,0.280156,0.565707,0.640252,0.916168,1
0.535211,0.515385,0.214008,0.499374,0.683019,0.928144,2
0.561368,0.517949,0.210117,0.669587,0.671698,0.91018,1
0.577465,0.448718,0.214008,0.539424,0.680503,0.91018,1
0.559356,0.464102,0.163424,0.593242,0.681761,0.91018,1
0.549296,0.489743,0.058366,0.433041,0.681761,0.922156,1
0.490946,0.633333,0.198444,0.503129,0.645283,0.91018,1
0.426559,0.751282,0.354086,0.259074,0.589937,0.898204,1
0.39839,0.807692,0.533074,0.261577,0.518239,0.874251,2
0.410463,0.751282,0.603113,0.385482,0.449057,0.844311,2
0.414487,0.730769,0.330739,0.443054,0.372327,0.904192,1
0.488934,0.8,0.439689,0.331665,0.290566,0.916168,2
0.67002,0.679487,0.36965,0.360451,0.228931,0.928144,1
0.847082,0.615385,0.206226,0.382979,0.221384,0.934132,3
0.865191,0.638462,0.696498,0.436796,0.330818,0.814371,3
0.839034,0.628205,0.649805,0.560701,0.425157,0.868263,3
0.712274,0.705128,0.501946,0.509387,0.510692,0.892216,2
0.51509,0.635898,0.315175,0.50438,0.568553,0.898204,2
0.402415,0.425641,0.217899,0.56821,0.568553,0.88024,1
0.549296,0.374359,0.031128,0.451815,0.552201,0.772455,1
0.589537,0.423077,0.163424,0.494368,0.571069,0.838323,1
0.476861,0.448718,0.11284,0.423029,0.601258,0.862275,1
0.44668,0.361538,0.101167,0.510638,0.58239,0.838323,1
0.484909,0.215385,0.326848,0.418023,0.524528,0.838323,1
0.61167,0.120513,0.470817,0.227785,0.451572,0.844311,1
0.798793,0.341026,0.501946,0.272841,0.432704,0.838323,2
0.631791,0.502564,0.389105,0.334168,0.491824,0.844311,1
0.513079,0.55641,0.252918,0.385482,0.543396,0.844311,1
0.45674,0.523077,0.163424,0.409262,0.56478,0.784431,1
0.478873,0.494872,0.050584,0.369212,0.685535,0.856287,1
0.424547,0.433333,0.128405,0.39174,0.626415,0.838323,0
0.368209,0.389744,0.178988,0.369212,0.636478,0.838323,0
0.362173,0.276923,0.291829,0.254068,0.642767,0.850299,0
0.38833,0.197436,0.365759,0.150188,0.618868,0.856287,1
0.404426,0.087179,0.439689,0.150188,0.598742,0.838323,1
0.581489,0.084616,0.478599,0.225282,0.573585,0.826347,1
0.595573,0.097436,0.455253,0.261577,0.574843,0.820359,1
0.627767,0.164103,0.40856,0.251564,0.578616,0.850299,1
0.557344,0.25641,0.315175,0.26408,0.589937,0.844311,1
0.575453,0.182051,0.2607,0.297872,0.601258,0.838323,1
0.503018,0.215385,0.29572,0.386733,0.623899,0.916168,1
0.460765,0.228205,0.276265,0.36796,0.636478,0.904192,1
0.434608,0.333333,0.284047,0.483104,0.644025,0.88024,1
0.503018,0.382051,0.18677,0.461827,0.61761,0.838323,1
0.450704,0.479487,0.11284,0.481852,0.587421,0.856287,1
0.426559,0.630769,0.163424,0.576971,0.561006,0.856287,1
0.503018,0.625641,0.233463,0.410513,0.539623,0.850299,1
0.557344,0.638462,0.40856,0.256571,0.50566,0.820359,1
0.50503,0.712821,0.284047,0.290363,0.509434,0.862275,1
0.470825,0.712821,0.420233,0.299124,0.485535,0.88024,2
0.478873,0.648718,0.420233,0.423029,0.464151,0.844311,2
0.541247,0.630769,0.342412,0.418023,0.437736,0.832335,2
0.533199,0.517949,0.206226,0.413016,0.437736,0.844311,1
0.61167,0.353846,0.330739,0.421777,0.464151,0.832335,1
0.623743,0.223077,0.447471,0.275344,0.530818,0.862275,1
0.726358,0.271795,0.412451,0.26408,0.576101,0.850299,1
0.704225,0.364103,0.400778,0.294118,0.606289,0.838323,1
0.730382,0.374359,0.400778,0.332916,0.628931,0.862275,2
0.720322,0.379487,0.595331,0.357947,0.67044,0.796407,2
0.750503,0.315385,0.529183,0.428035,0.69434,0.760479,2
0.732394,0.312821,0.505837,0.38423,0.724528,0.796407,2
0.730382,0.246154,0.490272,0.394243,0.757233,0.796407,2
0.569417,0.3,0.326848,0.441802,0.787421,0.754491,2
0.492958,0.333333,0.171206,0.403004,0.807547,0.736527,0
0.323944,0.489743,0.202335,0.375469,0.803774,0.748503,0
0.245473,0.566667,0.350195,0.202753,0.794969,0.784431,1
0.134809,0.492308,0.505837,0.214018,0.759748,0.760479,2
0.022133,0.551282,0.66537,0.34418,0.669182,0.766467,3
0.16499,0.664103,0.883268,0.590738,0.500629,0.736527,3
0.488934,0.930769,0.40856,0.620776,0.408805,0.892216,3
0.434608,0.966667,0.470817,0.663329,0.369811,0.874251,3
0.531187,0.979487,0.673152,0.474343,0.284277,0.838323,3
0.730382,0.764103,0.735409,0.647059,0.250314,0.808383,3
0.826962,0.469231,0.490272,0.650814,0.383648,0.868263,3
0.7666,0.441026,0.575875,0.454318,0.52327,0.784431,2
0.657948,0.64359,0.505837,0.531915,0.605031,0.748503,2
0.537223,0.725641,0.40856,0.382979,0.633962,0.796407,2
0.517103,0.764103,0.451362,0.354193,0.607547,0.832335,2
0.476861,0.776923,0.463035,0.381727,0.552201,0.838323,2
0.661972,0.661539,0.715953,0.369212,0.436478,0.88024,2
0.796781,0.415385,0.540856,0.390488,0.491824,0.688623,2
0.762575,0.505128,0.599222,0.390488,0.581132,0.676647,2
0.762575,0.512821,0.599222,0.423029,0.644025,0.622754,3
0.71831,0.474359,0.529183,0.546934,0.69434,0.640719,2
0.676056,0.479487,0.36965,0.435544,0.727044,0.634731,2
0.680081,0.428205,0.280156,0.479349,0.734591,0.592814,2
0.61167,0.402564,0.361868,0.379224,0.734591,0.598802,1
0.559356,0.315385,0.330739,0.460576,0.734591,0.580838,1
0.503018,0.297436,0.132296,0.394243,0.72956,0.592814,0
0.525151,0.297436,0.229572,0.30413,0.722013,0.580838,0
0.448692,0.358974,0.062257,0.339174,0.708176,0.586826,0
0.432596,0.369231,0.108949,0.326658,0.695597,0.568862,0
0.321932,0.397436,0.178988,0.461827,0.674214,0.616766,0
0.279678,0.448718,0.326848,0.123905,0.631447,0.688623,1
0.273642,0.517949,0.459144,0.198999,0.568553,0.760479,1
0.34004,0.692308,0.466926,0.232791,0.460377,0.748503,1
0.484909,0.812821,0.51751,0.257822,0.369811,0.826347,1
0.583501,0.710256,0.280156,0.276596,0.32327,0.814371,1
0.569417,0.689744,0.404669,0.325407,0.304403,0.814371,1
0.535211,0.815385,0.486381,0.418023,0.310692,0.790419,3
0.478873,0.887179,0.486381,0.698373,0.32327,0.820359,3
0.539236,0.917949,0.649805,0.765957,0.284277,0.814371,3
0.732394,0.733333,0.579767,0.881101,0.27044,0.796407,3
0.839034,0.638462,0.677043,0.609512,0.362264,0.748503,3
0.736418,0.625641,0.525292,0.685857,0.460377,0.766467,3
0.65996,0.666667,0.307393,0.56821,0.527044,0.760479,2
0.460765,0.666667,0.284047,0.590738,0.558491,0.760479,2
0.283702,0.669231,0.455253,0.514393,0.479245,0.748503,2
0.615694,0.679487,0.509728,0.439299,0.383648,0.772455,3
0.806841,0.68718,0.719844,0.489362,0.415094,0.598802,3
0.641851,0.635898,0.346304,0.516896,0.471698,0.634731,2
0.496982,0.551282,0.202335,0.503129,0.475472,0.54491,1
0.418511,0.379487,0.214008,0.42428,0.440252,0.520958,2
0.503018,0.117949,0.560311,0.361702,0.374843,0.682635,2
0.609658,0,0.692607,0.387985,0.362264,0.670659,3
0.60161,0.017949,0.692607,0.470588,0.358491,0.712575,3
0.480885,0.064103,0.459144,0.57572,0.407547,0.724551,3
0.490946,0.153846,0.354086,0.520651,0.432704,0.718563,2
0.44668,0.135898,0.439689,0.451815,0.436478,0.706587,2
0.480885,0.115385,0.44358,0.411765,0.422642,0.682635,2
0.503018,0.138462,0.463035,0.426783,0.418868,0.694611,2
0.551308,0.174359,0.505837,0.336671,0.426415,0.736527,2
0.557344,0.220513,0.51751,0.345432,0.43522,0.700599,2
0.623743,0.333333,0.490272,0.322904,0.446541,0.634731,1
0.639839,0.374359,0.459144,0.225282,0.465409,0.676647,1
0.643863,0.492308,0.412451,0.206508,0.484277,0.694611,0
0.539236,0.535897,0.233463,0.216521,0.48805,0.670659,0
0.547284,0.566667,0.093385,0.326658,0.469182,0.646707,0
0.460765,0.538462,0.097276,0.49562,0.438994,0.664671,0
0.464789,0.535897,0.159533,0.594493,0.408805,0.670659,1
0.354125,0.510256,0.225681,0.79975,0.384906,0.664671,1
0.263581,0.430769,0.326848,0.617021,0.367296,0.670659,1
0.237425,0.335897,0.494163,0.356696,0.332075,0.670659,2
0.370221,0.35641,0.715953,0.336671,0.256604,0.610778,2
0.420523,0.451282,0.326848,0.416771,0.242767,0.736527,2
0.466801,0.489744,0.299611,0.48811,0.250314,0.718563,2
0.531187,0.433333,0.105058,0.541927,0.245283,0.688623,2
0.708249,0.361538,0.237354,0.579474,0.260377,0.694611,2
0.67002,0.45641,0.455253,0.360451,0.31195,0.670659,2
0.730382,0.5,0.439689,0.399249,0.355975,0.60479,2
0.531187,0.546154,0.287938,0.435544,0.371069,0.586826,2
0.301811,0.538462,0.299611,0.546934,0.369811,0.592814,1
0.237425,0.410256,0.357977,0.414268,0.343396,0.628743,1
0.313883,0.25641,0.412451,0.321652,0.295597,0.646707,2
0.410463,0.238462,0.416342,0.374218,0.226415,0.610778,2
0.545272,0.289744,0.326848,0.465582,0.21761,0.718563,2
0.62173,0.34359,0.392996,0.406758,0.184906,0.676647,2
0.754527,0.607692,0.33463,0.541927,0.178616,0.652695,2
0.641851,0.792308,0.708171,0.423029,0.247799,0.592814,2
0.49497,0.748718,0.571984,0.400501,0.350943,0.628743,2
0.380282,0.520513,0.29572,0.386733,0.418868,0.634731,1
0.368209,0.292308,0.412451,0.330413,0.445283,0.664671,2
0.414487,0.176923,0.474708,0.342929,0.493082,0.682635,2
0.478873,0.207692,0.439689,0.305382,0.535849,0.688623,2
0.490946,0.258974,0.268482,0.418023,0.586164,0.676647,1
0.531187,0.258974,0.252918,0.385482,0.611321,0.652695,1
0.571429,0.282051,0.175097,0.514393,0.628931,0.640719,1
0.573441,0.279487,0.194553,0.387985,0.63522,0.60479,1
0.571429,0.307692,0.22179,0.509387,0.645283,0.586826,1
0.593561,0.328205,0.11284,0.387985,0.636478,0.556886,1
0.607646,0.323077,0.225681,0.340426,0.632704,0.592814,0
0.609658,0.323077,0.210117,0.319149,0.627673,0.634731,0
0.609658,0.361538,0.307393,0.249061,0.640252,0.580838,0
0.585513,0.425641,0.2607,0.249061,0.650314,0.556886,0
0.547284,0.446154,0.171206,0.266583,0.660377,0.526946,0
0.549296,0.425641,0.163424,0.252816,0.661635,0.532934,0
0.458753,0.364103,0.14786,0.335419,0.661635,0.538922,0
0.410463,0.297436,0.229572,0.235294,0.65283,0.556886,0
0.354125,0.248718,0.315175,0.091364,0.640252,0.54491,0
