@relation test-weka.filters.unsupervised.attribute.Remove-R16-17-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.MathExpression-EA*100-V-R11-weka.filters.unsupervised.attribute.MathExpression-EA-273.15-V-R1-weka.filters.unsupervised.attribute.MathExpression-E(A+0.650031)/(16.050012+0.650031)-V-R1-weka.filters.unsupervised.attribute.MathExpression-E(A-96020)/(103850-96020)-V-R2-weka.filters.unsupervised.attribute.MathExpression-E(A-48)/(100-48)-V-R3-weka.filters.unsupervised.attribute.MathExpression-E(A+24.399998)/(25.300001+24.399998)-V-R4-weka.filters.unsupervised.attribute.MathExpression-E(A+17.9)/(21.10002+17.9)-V-R5-weka.filters.unsupervised.attribute.MathExpression-E(A+0)/(359-0)-V-R6-weka.filters.unsupervised.attribute.MathExpression-E(A-0.1)/(19.7-0.1)-V-R7-weka.filters.unsupervised.attribute.MathExpression-E(A-0.4)/(26.1-0.4)-V-R8-weka.filters.unsupervised.attribute.MathExpression-E(A-2.94)/(17.39-2.94)-V-R9-weka.filters.unsupervised.attribute.MathExpression-E(A-3.1)/(11.09-3.1)-V-R10-weka.filters.unsupervised.attribute.MathExpression-E(A-95880)/(103830-95880)-V-R11-weka.filters.unsupervised.attribute.MathExpression-E(A+0.9)/(15.8+0.9)-V-R12-weka.filters.unsupervised.attribute.MathExpression-E(A-6)/(16.1-6)-V-R13-weka.filters.unsupervised.attribute.MathExpression-E(A-6)/(16.1-6)-V-R13-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R10

@attribute air numeric
@attribute pres numeric
@attribute uwnd numeric
@attribute vwnd numeric
@attribute WDIR numeric
@attribute GST numeric
@attribute APD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute Class_WVHT {0,1,2,3}

@data
0.191619,0.286079,0.362173,0.292308,0.10585,0.33463,0.605757,0.318239,0.197605,?
0.245509,0.240102,0.374245,0.210256,0.111421,0.330739,0.429287,0.265409,0.239521,?
0.191619,0.213282,0.442656,0.092308,0.050139,0.385214,0.312891,0.237736,0.233533,?
0.161679,0.226054,0.575453,0.058974,0.977716,0.521401,0.282854,0.236478,0.239521,?
0.167665,0.269476,0.700201,0.110256,0.888579,0.560311,0.319149,0.267925,0.209581,?
0.107785,0.323116,0.708249,0.248718,0.844011,0.521401,0.332916,0.31195,0.167665,?
0.041919,0.36143,0.678068,0.317949,0.816156,0.529183,0.426783,0.348428,0.11976,?
0.047905,0.393359,0.65996,0.292308,0.835655,0.560311,0.46433,0.379874,0.02994,?
0.09581,0.421456,0.599598,0.192308,0.905292,0.661479,0.593242,0.421384,0.161677,?
0.131739,0.45977,0.561368,0.14359,0.927577,0.509728,0.534418,0.47044,0.203593,?
0.143714,0.490421,0.507042,0.141026,0.986072,0.466926,0.508135,0.514465,0.227545,?
0.155689,0.50447,0.444668,0.176923,0.033426,0.389105,0.435544,0.52956,0.239521,?
0.167665,0.491699,0.426559,0.230769,0.041783,0.389105,0.372966,0.522013,0.239521,?
0.185629,0.484036,0.400402,0.258974,0.100279,0.256809,0.440551,0.509434,0.257485,?
0.191617,0.444444,0.38833,0.248718,0.091922,0.424125,0.396746,0.472956,0.263473,?
0.221557,0.443167,0.414487,0.31282,0.13649,0.36965,0.415519,0.454088,0.293413,?
0.251499,0.443167,0.450704,0.31282,0.083565,0.18677,0.484355,0.460377,0.293413,?
0.257486,0.464879,0.430583,0.271795,0.038997,0.272374,0.396746,0.472956,0.287425,?
0.263472,0.466156,0.454728,0.225641,0.030641,0.2607,0.526909,0.489308,0.269461,?
0.251499,0.47765,0.54326,0.253846,0.019499,0.171206,0.523154,0.491824,0.221557,?
0.233534,0.51341,0.710262,0.315384,0.846797,0.536965,0.421777,0.498113,0.185629,?
0.131739,0.54023,0.760563,0.453846,0.740947,0.498054,0.354193,0.544654,0.077844,?
0.053894,0.578544,0.647887,0.635897,0.629526,0.365759,0.395494,0.572327,0.101796,?
0.227545,0.538953,0.422535,0.846153,0.490251,0.51751,0.289111,0.550943,0.185629,?
0.341319,0.475096,0.458753,0.866666,0.470752,0.579767,0.369212,0.466667,0.365269,?
0.407186,0.449553,0.517103,0.687179,0.534819,0.330739,0.580726,0.450314,0.39521,?
0.347306,0.412516,0.507042,0.625641,0.456825,0.217899,0.604506,0.432704,0.389222,?
0.383232,0.402299,0.509054,0.587179,0.467967,0.18677,0.60826,0.407547,0.377246,?
0.377246,0.402299,0.541247,0.643589,0.548747,0.18677,0.753442,0.391195,0.359281,?
0.371259,0.426564,0.54326,0.753846,0.562674,0.435798,0.79975,0.418868,0.383234,?
0.347306,0.482759,0.607646,0.766666,0.551532,0.455253,0.89612,0.460377,0.389222,?
0.353294,0.508301,0.45674,0.782051,0.518106,0.509728,0.722153,0.510692,0.347305,?
0.401197,0.356322,0.205231,0.835897,0.362117,0.836576,0.480119,0.393711,0.401198,?
0.317366,0.39719,0.65996,0.807692,0.568245,0.548638,0.685857,0.388679,0.407186,?
0.365271,0.507024,0.486921,0.758974,0.557103,0.463035,0.630788,0.480503,0.377246,?
0.371257,0.499361,0.313883,0.697436,0.417827,0.435798,0.609512,0.514465,0.401198,?
0.443114,0.255428,0.348088,0.392308,0.169916,0.688716,0.478098,0.333333,0.39521,?
0.317366,0.338442,0.887324,0.802564,0.710306,0.957198,0.475594,0.211321,0.281437,?
0.323352,0.530013,0.625755,0.735897,0.629526,0.595331,0.596996,0.490566,0.365269,?
0.359281,0.530013,0.354125,0.515384,0.465181,0.194553,0.623279,0.544654,0.353293,?
0.401199,0.353768,0.454728,0.071795,0.066852,0.540856,0.581977,0.413836,0.281437,?
0.275451,0.416347,0.839034,0.448718,0.855153,0.863813,0.439299,0.314465,0.245509,?
0.239522,0.564496,0.724346,0.379487,0.763231,0.599222,0.490613,0.524528,0.263473,?
0.221559,0.66539,0.645875,0.366666,0.807799,0.396887,0.489362,0.636478,0.215569,?
0.221559,0.738186,0.627767,0.358974,0.905292,0.513619,0.516896,0.732075,0.08982,?
0.227545,0.794381,0.637827,0.5,0.768802,0.40856,0.478098,0.778616,0.281437,?
0.257486,0.845466,0.68008,0.451282,0.740947,0.513619,0.450563,0.827673,0.287425,?
0.2994,0.915709,0.668008,0.44359,0.796657,0.525292,0.430538,0.890566,0.293413,?
0.233532,0.957854,0.627767,0.497436,0.735376,0.48249,0.451815,0.953459,0.317365,?
0.227545,0.998723,0.605634,0.520513,0.685237,0.431907,0.429287,0.977358,0.305389,?
0.20958,1.006386,0.595573,0.507692,0.740947,0.225681,0.523154,1.001258,0.263473,?
0.245511,1.020434,0.579477,0.5,0.727019,0.206226,0.485607,1.010063,0.293413,?
0.221557,1.005109,0.539235,0.507692,0.682451,0.214008,0.510638,1.011321,0.287425,?
0.245509,1.006386,0.54326,0.533333,0.635097,0.140078,0.466834,1.003774,0.263473,?
0.263472,1.001277,0.515091,0.553846,0.649025,0.264591,0.623279,1.003774,0.317365,?
0.275451,0.992337,0.460765,0.543589,0.598886,0.202335,0.722153,0.996226,0.329341,?
0.287426,1.003831,0.434608,0.523077,0.456825,0.081712,0.73592,1.010063,0.329341,?
0.26946,0.997446,0.380282,0.407692,0.431755,0.062257,0.675845,1.002516,0.323353,?
0.281439,0.984674,0.402414,0.353846,0.194986,0.190661,0.764706,0.992453,0.323353,?
0.32934,0.951469,0.406439,0.310256,0.169916,0.210117,0.720901,0.973585,0.329341,?
0.287426,0.934866,0.336016,0.302564,0.133705,0.291829,0.435544,0.953459,0.335329,?
0.305389,0.906769,0.34004,0.297436,0.133705,0.338521,0.336671,0.92956,0.347305,?
0.353292,0.890166,0.34004,0.276923,0.125348,0.40856,0.316646,0.906918,0.347305,?
0.413172,0.8659,0.358149,0.287179,0.147632,0.377432,0.2403,0.889308,0.371257,?
0.389222,0.8659,0.313883,0.271795,0.169916,0.466926,0.296621,0.88805,0.39521,?
0.32934,0.850575,0.364185,0.228205,0.108635,0.373541,0.355444,0.877987,0.371257,?
0.335331,0.842912,0.374245,0.189743,0.05571,0.264591,0.38423,0.865409,0.353293,?
0.407186,0.793103,0.480885,0.125641,0.983287,0.342412,0.326658,0.828931,0.353293,?
0.377246,0.779055,0.424547,0.128205,0.036212,0.377432,0.324155,0.8,0.329341,?
0.365269,0.766284,0.422535,0.164103,0.041783,0.291829,0.366708,0.801258,0.353293,?
0.377246,0.775223,0.392354,0.223077,0.011142,0.307393,0.380476,0.791195,0.371257,?
0.443112,0.758621,0.484909,0.179487,0.991643,0.350195,0.416771,0.774843,0.419162,?
0.407186,0.753512,0.440644,0.210256,0.972145,0.350195,0.31164,0.761006,0.371257,?
0.371257,0.742018,0.466801,0.276923,0.061281,0.167315,0.413016,0.757233,0.329341,?
0.371257,0.731801,0.482897,0.376923,0.986072,0.038911,0.385482,0.742138,0.293413,?
0.401199,0.703704,0.50503,0.405128,0.272981,0.093385,0.444305,0.718239,0.311377,?
0.329342,0.66539,0.484909,0.479487,0.526462,0.124514,0.374218,0.680503,0.335329,?
0.293412,0.633461,0.507042,0.423077,0.364903,0.124514,0.401752,0.659119,0.311377,?
0.299402,0.637292,0.374245,0.402564,0.264624,0.229572,0.339174,0.659119,0.335329,?
0.305389,0.657727,0.338028,0.294872,0.197772,0.420233,0.210263,0.68805,0.305389,?
0.23952,0.688378,0.279678,0.289743,0.183844,0.404669,0.372966,0.713208,0.257485,?
0.221557,0.706258,0.336016,0.235897,0.116992,0.346304,0.340426,0.725786,0.281437,?
0.215571,0.720307,0.374245,0.264102,0.100279,0.2607,0.396746,0.728302,0.239521,?
0.275449,0.726692,0.452716,0.248718,0.008357,0.143969,0.380476,0.744654,0.299401,?
0.245509,0.745849,0.458753,0.292308,0.969359,0.252918,0.26408,0.749686,0.323353,?
0.215569,0.742018,0.545272,0.330769,0.869081,0.280156,0.257822,0.750943,0.287425,?
0.227545,0.730524,0.565392,0.34359,0.846797,0.214008,0.229036,0.728302,0.299401,?
0.221557,0.678161,0.613682,0.41282,0.793872,0.381323,0.2403,0.68805,0.287425,?
0.233532,0.618135,0.609658,0.420513,0.807799,0.280156,0.250313,0.620126,0.257485,?
0.215569,0.541507,0.641851,0.425641,0.818942,0.315175,0.269086,0.540881,0.215569,?
0.221559,0.454662,0.694165,0.5,0.713092,0.354086,0.236546,0.460377,0.233533,?
0.233532,0.375479,0.734406,0.561538,0.626741,0.365759,0.217772,0.374843,0.251497,?
0.11976,0.326948,0.764588,0.479487,0.752089,0.346304,0.307885,0.316981,0.137725,?
0.113774,0.339719,0.832998,0.407692,0.779944,0.677043,0.382979,0.314465,0.191617,?
0.131737,0.383142,0.792757,0.402564,0.799443,0.680934,0.549437,0.361006,0.143713,?
0.18563,0.435504,0.736419,0.558974,0.729805,0.59144,0.474343,0.413836,0.161677,?
0.2994,0.439336,0.661972,0.7,0.671309,0.533074,0.469337,0.436478,0.281437,?
0.347306,0.390805,0.555332,0.879487,0.54039,0.571984,0.466834,0.407547,0.353293,?
0.311379,0.316731,0.690141,0.676923,0.660167,0.533074,0.453671,0.310692,0.335329,?
0.275451,0.375479,0.633803,0.435897,0.810585,0.272374,0.560701,0.367296,0.221557,?
0.227545,0.452107,0.549296,0.630769,0.738162,0.22179,0.598248,0.451572,0.155689,?
0.359281,0.484036,0.474849,0.846153,0.490251,0.315175,0.610763,0.499371,0.335329,?
0.347306,0.430396,0.344064,0.923076,0.445682,0.731518,0.48811,0.451572,0.377246,?
0.449101,0.37037,0.410463,0.889743,0.445682,0.735409,0.553191,0.374843,0.401198,?
0.455091,0.319285,0.424547,0.987179,0.490251,0.677043,0.549437,0.340881,0.449102,?
0.431139,0.332056,0.352113,0.882051,0.487465,0.715953,0.586984,0.345912,0.491018,?
0.389221,0.274585,0.275654,0.851282,0.440111,0.696498,0.622028,0.313208,0.443114,?
0.437126,0.16986,0.301811,0.81282,0.4039,0.805447,0.713392,0.21761,0.42515,?
0.341317,0.201788,0.565392,0.871794,0.537604,0.645914,0.728411,0.208805,0.407186,?
0.389222,0.283525,0.414487,0.635897,0.509749,0.435798,0.713392,0.289308,0.377246,?
0.353294,0.214559,0.438632,0.589743,0.364903,0.33463,0.674593,0.242767,0.365269,?
0.293414,0.232439,0.710262,0.479487,0.763231,0.529183,0.638298,0.206289,0.281437,?
0.221557,0.314176,0.770624,0.507692,0.774373,0.548638,0.500626,0.300629,0.251497,?
0.215569,0.393359,0.647887,0.584615,0.657382,0.474708,0.475594,0.381132,0.257485,?
0.197605,0.434227,0.545272,0.697436,0.576602,0.424125,0.397997,0.430189,0.323353,?
0.209582,0.439336,0.555332,0.615384,0.448468,0.217899,0.496871,0.442767,0.197605,?
0.245511,0.439336,0.573441,0.515384,0.568245,0.303502,0.470588,0.436478,0.245509,?
0.251499,0.440613,0.605634,0.584615,0.623955,0.357977,0.555695,0.436478,0.305389,?
0.299402,0.467433,0.60161,0.658974,0.607242,0.307393,0.571965,0.465409,0.311377,?
0.287426,0.507024,0.577465,0.676923,0.637883,0.326848,0.571965,0.504403,0.323353,?
0.269462,0.535121,0.571429,0.651282,0.590529,0.346304,0.489362,0.540881,0.305389,?
0.263472,0.556833,0.559356,0.6,0.598886,0.287938,0.536921,0.557233,0.305389,?
0.299402,0.561941,0.567404,0.607692,0.587744,0.237354,0.541927,0.562264,0.299401,?
0.281439,0.551724,0.521127,0.538461,0.54039,0.18677,0.479349,0.563522,0.287425,?
0.251497,0.545338,0.484909,0.505128,0.590529,0.11284,0.539424,0.562264,0.251497,?
0.239522,0.544061,0.478873,0.407692,0.699164,0.143969,0.525657,0.553459,0.227545,?
0.287426,0.537676,0.464789,0.430769,0.977716,0.101167,0.550688,0.549686,0.245509,?
0.23952,0.54023,0.480885,0.4,0,0.093385,0.524406,0.548428,0.257485,?
0.281437,0.544061,0.537223,0.333333,0.902507,0.175097,0.569462,0.553459,0.245509,?
0.275449,0.551724,0.482897,0.302564,0.019499,0.182879,0.481852,0.558491,0.221557,?
0.365271,0.556833,0.501006,0.294872,0.966574,0.241245,0.429287,0.562264,0.359281,?
0.305391,0.56705,0.464789,0.282051,0.064067,0.245136,0.421777,0.577358,0.317365,?
0.275449,0.59387,0.486921,0.282051,0.977716,0.315175,0.394243,0.593711,0.317365,?
0.26946,0.618135,0.480885,0.276923,0.958217,0.396887,0.20025,0.622642,0.257485,?
0.245511,0.653895,0.49497,0.333333,0.905292,0.249027,0.346683,0.661635,0.233533,?
0.221557,0.678161,0.555332,0.417949,0.576602,0.143969,0.429287,0.679245,0.239521,?
0.15569,0.706258,0.657948,0.35641,0.724234,0.486381,0.244055,0.691824,0.137725,?
0.107785,0.739464,0.698189,0.317949,0.86351,0.55642,0.334168,0.72327,0.125749,?
0.131737,0.794381,0.688129,0.289743,0.830084,0.459144,0.346683,0.781132,0.101796,?
0.119762,0.846743,0.643863,0.34359,0.846797,0.396887,0.36796,0.837736,0.167665,?
0.161679,0.882503,0.593561,0.45641,0.75766,0.155642,0.307885,0.872956,0.197605,?
0.245509,0.844189,0.639839,0.658974,0.615599,0.396887,0.180225,0.847799,0.287425,?
0.317366,0.832695,0.700201,0.479487,0.763231,0.447471,0.195244,0.821384,0.353293,?
0.317366,0.859515,0.65996,0.248718,0.835655,0.455253,0.480601,0.841509,0.305389,?
0.269462,0.908046,0.569417,0.24359,0.952646,0.424125,0.503129,0.901887,0.317365,?
0.287426,0.93742,0.515091,0.284615,0.033426,0.291829,0.469337,0.938365,0.341317,?
0.263472,0.956577,0.557344,0.320513,0.885794,0.225681,0.555695,0.967296,0.311377,?
0.263474,0.968072,0.571429,0.31282,0.832869,0.2607,0.593242,0.966038,0.329341,?
0.263472,0.974457,0.599598,0.351282,0.799443,0.307393,0.525657,0.96478,0.317365,?
0.293414,0.966794,0.651911,0.346154,0.844011,0.404669,0.396746,0.953459,0.281437,?
0.323352,0.957854,0.65996,0.353846,0.807799,0.459144,0.299124,0.94717,0.293413,?
0.287426,0.934866,0.710262,0.420513,0.785515,0.540856,0.460576,0.922013,0.299401,?
0.299402,0.895275,0.774648,0.317949,0.827298,0.622568,0.410513,0.885535,0.359281,?
0.359282,0.890166,0.730382,0.176923,0.869081,0.645914,0.466834,0.872956,0.353293,?
0.389222,0.899106,0.615694,0.141026,0.938719,0.521401,0.520651,0.898113,0.401198,?
0.305391,0.933589,0.575453,0.207692,0.888579,0.416342,0.46433,0.925786,0.359281,?
0.281437,0.906769,0.635815,0.307692,0.852368,0.447471,0.421777,0.910692,0.329341,?
0.281439,0.863346,0.706237,0.351282,0.807799,0.533074,0.386733,0.859119,0.323353,?
0.293412,0.804598,0.750503,0.315384,0.821727,0.513619,0.321652,0.803774,0.341317,?
0.287426,0.772669,0.694165,0.215385,0.89415,0.451362,0.421777,0.769811,0.359281,?
0.293414,0.747126,0.702213,0.279487,0.86351,0.466926,0.345432,0.744654,0.359281,?
0.317366,0.712644,0.71831,0.361538,0.832869,0.459144,0.364205,0.706918,0.359281,?
0.323352,0.651341,0.738431,0.389743,0.802228,0.486381,0.332916,0.661635,0.341317,?
0.257486,0.596424,0.764588,0.384615,0.81337,0.544747,0.345432,0.601258,0.311377,?
0.077845,0.564496,0.875251,0.274359,0.807799,0.836576,0.46433,0.54717,0.155689,?
0.017965,0.553001,0.871227,0.338461,0.799443,0.789883,0.67209,0.522013,0.071856,?
0.065869,0.547893,0.901408,0.387179,0.791086,0.809339,0.603254,0.524528,0.05988,?
0.023952,0.574713,0.816901,0.471795,0.718663,0.677043,0.558198,0.544654,0.035928,?
0.089822,0.597701,0.782696,0.541025,0.740947,0.599222,0.476846,0.568553,0.131737,?
0.047905,0.588761,0.714286,0.617948,0.674095,0.40856,0.401752,0.584906,0.041916,?
0.05988,0.553001,0.587525,0.566666,0.593315,0.400778,0.411765,0.573585,0.083832,?
0.119762,0.475096,0.557344,0.469231,0.657382,0.101167,0.421777,0.520755,0.095808,?
0.101799,0.430396,0.710262,0.438461,0.779944,0.365759,0.34418,0.438994,0.047904,?
0.137725,0.393359,0.752515,0.538461,0.746518,0.51751,0.221527,0.371069,0.08982,?
0.221559,0.393359,0.730382,0.264102,0.899721,0.634241,0.435544,0.38239,0.233533,?
0.173652,0.436782,0.770624,0.230769,0.849582,0.645914,0.436796,0.433962,0.209581,?
0.161677,0.45977,0.716298,0.307692,0.802228,0.439689,0.453066,0.460377,0.191617,?
0.197605,0.507024,0.605634,0.282051,0.91922,0.36965,0.451815,0.484277,0.203593,?
0.293412,0.546616,0.50503,0.161538,0.013928,0.610895,0.583229,0.552201,0.227545,?
0.245511,0.616858,0.458752,0.146154,0.050139,0.568093,0.598248,0.618868,0.239521,?
0.15569,0.669221,0.460765,0.217949,0.977716,0.40856,0.510638,0.685535,0.11976,?
0.12575,0.684547,0.539235,0.248718,0.888579,0.451362,0.410513,0.689308,0.125749,?
0.173654,0.63857,0.649899,0.302564,0.89415,0.470817,0.425532,0.650314,0.149701,?
0.11976,0.627075,0.583501,0.230769,0.955432,0.494163,0.316646,0.630189,0.11976,?
0.119762,0.607918,0.557344,0.253846,0.933148,0.357977,0.382979,0.611321,0.131737,?
0.113772,0.597701,0.555332,0.235897,0.832869,0.385214,0.413016,0.606289,0.077844,?
0.167665,0.573436,0.633803,0.246154,0.910864,0.498054,0.341677,0.584906,0.131737,?
0.119762,0.556833,0.647887,0.251282,0.902507,0.505837,0.352941,0.558491,0.071856,?
