@relation 'train-weka.filters.unsupervised.attribute.Remove-R11,16-17-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.MathExpression-EA*100-V-R11-weka.filters.unsupervised.attribute.MathExpression-EA-273.15-V-R1-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R1-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R2-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R3-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R4-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R5-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R6-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R7-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R8-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R9-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R10-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R11-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R12-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R13-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R6'

@attribute air numeric
@attribute pres numeric
@attribute uwnd numeric
@attribute vwnd numeric
@attribute GST numeric
@attribute APD numeric
@attribute Class_WVHT {0,1,2,3}

@data
0.341319,0.255428,0.396378,0.684615,0.392996,0.446809,2
0.371257,0.260536,0.404427,0.68718,0.439689,0.429287,2
0.377246,0.268199,0.527163,0.769231,0.498054,0.330413,2
0.335331,0.318008,0.539235,0.8,0.525292,0.342929,2
0.341319,0.320562,0.32998,0.794872,0.521401,0.31164,2
0.377246,0.311622,0.227364,0.633333,0.51751,0.466834,3
0.395211,0.310345,0.231388,0.479487,0.571984,0.515645,3
0.347306,0.296296,0.227364,0.402564,0.509728,0.573217,2
0.383234,0.286079,0.241449,0.341026,0.463035,0.485607,2
0.413172,0.277139,0.28169,0.294872,0.428016,0.584481,2
0.395211,0.302682,0.257545,0.376923,0.365759,0.543179,2
0.353294,0.312899,0.295775,0.330769,0.342412,0.571965,2
0.377246,0.318008,0.317907,0.294872,0.404669,0.430538,2
0.383232,0.363985,0.380282,0.289744,0.249027,0.473091,1
0.311379,0.39719,0.452716,0.307692,0.229572,0.450563,2
0.347306,0.444444,0.547284,0.366667,0.140078,0.521902,1
0.275451,0.546616,0.661972,0.594872,0.361868,0.449312,2
0.245509,0.592593,0.688129,0.630769,0.490272,0.395494,2
0.287426,0.633461,0.698189,0.605128,0.466926,0.43179,2
0.323352,0.702427,0.746479,0.45641,0.509728,0.31164,2
0.293412,0.775223,0.712274,0.479487,0.498054,0.468085,1
0.293412,0.83014,0.605634,0.502564,0.276265,0.387985,1
0.2994,0.840358,0.297787,0.558974,0.276265,0.335419,1
0.341319,0.794381,0.229376,0.561538,0.509728,0.181477,2
0.419161,0.758621,0.269618,0.658974,0.536965,0.371715,2
0.425149,0.726692,0.27163,0.669231,0.459144,0.381727,2
0.467066,0.676884,0.245473,0.615385,0.509728,0.370463,2
0.455089,0.625798,0.279678,0.610256,0.44358,0.499374,3
0.437126,0.587484,0.269618,0.55641,0.330739,0.628285,3
0.443112,0.545338,0.297787,0.610256,0.412451,0.650814,2
0.431137,0.532567,0.368209,0.582051,0.315175,0.633292,2
0.383232,0.536398,0.412475,0.602564,0.280156,0.693367,2
0.419161,0.527458,0.315895,0.561538,0.272374,0.570713,2
0.383234,0.515964,0.396378,0.530769,0.217899,0.413016,1
0.431139,0.790549,0.569416,0.789744,0.59144,0.506884,3
0.413174,0.802043,0.569417,0.805128,0.501946,0.57572,2
0.425149,0.825032,0.55332,0.761538,0.420233,0.513141,3
0.437126,0.849298,0.525151,0.738462,0.416342,0.544431,2
0.347306,0.288633,0.62173,0.494872,0.124514,0.598248,3
0.311377,0.392082,0.839034,0.502564,0.521401,0.548185,3
0.293414,0.44189,0.839034,0.55641,0.743191,0.555695,3
0.317366,0.463602,0.810865,0.566667,0.59144,0.645807,3
0.347306,0.503193,0.784708,0.579487,0.463035,0.654568,3
0.395209,1,0.559356,0.228205,0.459144,0.534418,2
0.413174,0.651341,0.647887,0.874359,0.587549,0.52816,2
0.425149,0.734355,0.627767,0.694872,0.365759,0.46433,2
0.502994,0.711367,0.104628,0.787179,0.669261,0.34418,3
0.473052,0.739464,0.150905,0.617949,0.571984,0.232791,2
0.520958,0.683269,0.241449,0.738462,0.700389,0.441802,2
0.02994,0.572158,0.674044,0.520513,0.447471,0.425532,2
0.071857,0.582375,0.698189,0.551282,0.490272,0.48811,2
0.02994,0.583653,0.746479,0.351282,0.346304,0.496871,3
0.071857,0.610473,0.758551,0.376923,0.560311,0.510638,3
0.041919,0.655172,0.708249,0.441026,0.626459,0.470588,2
0.245509,0.66539,0.430583,0.733333,0.428016,0.345432,1
0.311379,0.64751,0.360161,0.784615,0.494163,0.260325,2
0.293414,0.616858,0.28169,0.769231,0.595331,0.392991,3
0.407186,0.569604,0.193159,0.794872,0.731518,0.545682,3
0.431137,0.560664,0.321932,0.882051,0.731518,0.602003,3
0.413172,0.634738,0.448692,0.653846,0.206226,0.643304,3
0.449102,0.521073,0.374245,0.548718,0.36965,0.486859,2
0.407186,0.56705,0.577465,0.64359,0.552529,0.36796,2
0.497006,0.621967,0.444668,0.561539,0.120623,0.342929,0
0.479041,0.624521,0.273642,0.492308,0.264591,0.376721,1
0.485029,0.613027,0.21328,0.410256,0.389105,0.459324,2
0.455091,0.627075,0.360161,0.492308,0.307393,0.438048,1
0.485029,0.628352,0.390342,0.551282,0.249027,0.403004,1
0.437126,0.637292,0.392354,0.566667,0.14786,0.433041,1
0.461079,0.574713,0.171026,0.489744,0.416342,0.230288,1
0.449102,0.500639,0.06841,0.564103,0.583658,0.262829,3
0.520959,0.383142,0.400402,0.630769,0.396887,0.555695,2
0.395211,0.523627,0.567404,0.671795,0.420233,0.550688,2
0.419162,0.509579,0.440644,0.635897,0.128405,0.593242,2
0.221557,0.538953,0.704225,0.602564,0.400778,0.559449,2
0.431137,0.478927,0.372233,0.766667,0.44358,0.64831,3
0.431139,0.538953,0.496982,0.923077,0.486381,0.565707,3
0.419162,0.607918,0.527163,0.925641,0.677043,0.607009,3
0.401197,0.664112,0.472837,0.741026,0.470817,0.834793,3
0.443112,0.573436,0.406439,0.417949,0.124514,0.773467,2
0.371259,0.639847,0.641851,0.489744,0.361868,0.603254,2
0.341317,0.724138,0.331992,0.446154,0.140078,0.604506,2
0.383232,0.628352,0.156942,0.279487,0.548638,0.438048,2
0.341319,0.545338,0.269618,0.384615,0.354086,0.454318,1
0.317366,0.583653,0.571429,0.323077,0.210117,0.40801,1
0.281437,0.55811,0.595573,0.333333,0.315175,0.501877,1
0.263474,0.519796,0.607646,0.387179,0.307393,0.356696,1
0.263472,0.458493,0.569417,0.505128,0.167315,0.498123,1
0.269462,0.37931,0.444668,0.615385,0.22179,0.571965,1
0.293414,0.315453,0.406439,0.633333,0.315175,0.325407,1
0.329342,0.328225,0.370221,0.658974,0.361868,0.366708,2
0.317366,0.357599,0.358149,0.648718,0.381323,0.475594,2
0.275451,0.365262,0.386318,0.64359,0.361868,0.566959,2
0.281439,0.367816,0.468813,0.6,0.287938,0.60826,2
0.335331,0.367816,0.559356,0.558974,0.249027,0.556946,2
0.413174,0.390805,0.434608,0.648718,0.490272,0.593242,3
0.455089,0.323116,0.531187,0.553846,0.801556,0.685857,3
0.317366,0.590038,0.549296,0.741026,0.51751,0.683354,3
0.443114,0.39719,0.452716,0.774359,0.696498,0.534418,3
0.419161,0.503193,0.50503,0.674359,0.459144,0.604506,3
0.437126,0.50447,0.305835,0.561538,0.361868,0.543179,2
0.455089,0.416347,0.22334,0.433333,0.486381,0.486859,2
0.443114,0.302682,0.350101,0.664103,0.381323,0.451815,2
0.377246,0.321839,0.466801,0.923077,0.782101,0.410513,3
0.467066,0.273308,0.134809,0.684615,0.875486,0.509387,3
0.461079,0.240102,0.247485,0.797436,0.536965,0.678348,3
0.413174,0.583653,0.402414,0.45641,0.178988,0.622028,2
0.347306,0.243934,0.432596,0.551282,0.07393,0.544431,2
0.389221,0.288633,0.297787,0.48718,0.2607,0.460576,1
0.377246,0.340996,0.655936,0.410256,0.062257,0.534418,2
0.335331,0.394636,0.72837,0.461538,0.198444,0.627034,2
0.371259,0.329502,0.334004,0.282051,0.350195,0.468085,2
0.353294,0.51341,0.561368,0.497436,0.105058,0.555695,1
0.311379,0.863346,0.474849,0.546154,0.151751,0.414268,1
0.407186,0.498084,0.319919,0.646154,0.36965,0.478098,2
0.407186,0.515964,0.43662,0.638462,0.291829,0.439299,1
0.431139,0.496807,0.360161,0.44359,0.237354,0.458073,1
0.383234,0.448276,0.112676,0.658974,0.684825,0.262829,3
0.449102,0.344828,0.130785,0.623077,0.848249,0.548185,3
0.425151,0.301405,0.245473,0.628205,0.404669,0.484355,3
0.299402,0.669221,0.726358,0.430769,0.431907,0.356696,2
0.383234,0.740741,0.547284,0.774359,0.459144,0.356696,2
0.485031,0.747126,0.579477,0.81282,0.564202,0.413016,3
0.491019,0.761175,0.595573,0.805128,0.595331,0.519399,3
0.407186,0.849298,0.478873,0.692308,0.365759,0.534418,2
0.395211,0.849298,0.406439,0.65641,0.287938,0.533166,2
0.371259,0.84802,0.346076,0.579487,0.245136,0.578223,2
0.485029,0.729246,0.251509,0.51282,0.299611,0.553191,2
0.449101,0.684547,0.374246,0.592308,0.354086,0.524406,2
0.287426,0.754789,0.490946,0.494872,0.128405,0.476846,1
0.329342,0.743295,0.468813,0.54359,0.089494,0.486859,1
0.23952,0.478927,0.668008,0.587179,0.350195,0.585732,2
0.401199,0.869732,0.794769,0.289744,0.610895,0.421777,3
0.437126,0.984674,0.678068,0.08718,0.789883,0.669587,3
0.437126,0.478927,0.615694,0.897436,0.486381,0.410513,2
0.425151,0.807152,0.583501,0.584615,0.311284,0.40801,1
0.449102,0.841635,0.460765,0.492308,0.140078,0.468085,2
0.479041,0.833972,0.257545,0.502564,0.303502,0.479349,2
0.508981,0.681992,0.126761,0.661538,0.727626,0.453066,3
0.520959,0.697318,0.34004,0.779487,0.529183,0.425532,2
0.514971,0.697318,0.342052,0.776923,0.544747,0.409262,2
0.293412,0.363985,0.37827,0,0.719844,0.364205,3
0.287426,0.37931,0.661972,0.217949,0.575875,0.421777,2
0.287426,0.475096,0.515091,0.366667,0.159533,0.570713,2
0.251497,0.463602,0.599598,0.351282,0.439689,0.460576,2
0.095809,0.521073,0.782696,0.453846,0.610895,0.47184,2
0.09581,0.572158,0.702213,0.412821,0.385214,0.496871,2
0.401197,0.648787,0.384306,0.5,0.14786,0.623279,2
0.425151,0.616858,0.34004,0.353846,0.256809,0.635795,2
0.497006,0.554278,0.267606,0.394872,0.299611,0.540676,1
0.479041,0.482759,0.273642,0.458974,0.350195,0.425532,2
0.491019,0.535121,0.394366,0.679487,0.478599,0.413016,2
0.502992,0.393359,0.181087,0.653846,0.785992,0.580726,3
0.485029,0.380587,0.360161,0.766667,0.505837,0.566959,2
0.479043,0.413793,0.418511,0.851282,0.431907,0.494368,2
0.389221,0.485313,0.599598,0.802564,0.51751,0.499374,2
0.497006,0.399745,0.513078,0.75641,0.33463,0.475594,2
0.449102,0.420179,0.517103,0.797436,0.424125,0.576971,2
0.371259,0.473819,0.581489,0.75641,0.400778,0.539424,2
0.443114,0.550447,0.484909,0.628205,0.385214,0.550688,2
0.467066,0.537676,0.442656,0.612821,0.284047,0.553191,2
0.443114,0.524904,0.454728,0.612821,0.159533,0.573217,2
0.293412,0.376756,0.756539,0.589744,0.424125,0.434293,2
0.323354,0.376756,0.738431,0.579487,0.470817,0.550688,3
0.293414,0.390805,0.794769,0.574359,0.365759,0.590738,3
0.275451,0.39719,0.849095,0.553846,0.599222,0.710889,3
0.233534,0.446999,0.873239,0.507692,0.622568,0.595745,3
0.203592,0.510856,0.873239,0.558974,0.723735,0.627034,3
0.209582,0.527458,0.752515,0.607692,0.264591,0.607009,2
0.191619,0.564496,0.617706,0.569231,0.315175,0.50438,1
0.245511,0.57599,0.533199,0.592308,0.2607,0.409262,1
0.287426,0.550447,0.513078,0.589744,0.175097,0.451815,1
0.287426,0.54917,0.519115,0.533333,0.44358,0.269086,1
0.335329,0.544061,0.619718,0.45641,0.066148,0.400501,1
0.257486,0.659004,0.593561,0.65641,0.381323,0.668335,3
0.305391,0.693487,0.464789,0.607692,0.276265,0.643304,3
0.383234,0.660281,0.160966,0.594872,0.494163,0.596996,3
0.317366,0.715198,0.549296,0.571795,0.233463,0.484355,2
0.467066,0.466156,0.100604,0.346154,0.66537,0.389237,3
0.449102,0.444444,0.422535,0.733333,0.40856,0.413016,2
0.461079,0.404853,0.245473,0.423077,0.338521,0.546934,3
0.473052,0.328225,0.217304,0.625641,0.494163,0.581977,3
0.443114,0.38825,0.426559,0.9,0.684825,0.503129,3
0.389221,0.49553,0.468813,0.874359,0.626459,0.59199,3
0.449102,0.535121,0.323944,0.558974,0.486381,0.603254,2
0.491019,0.41507,0.217304,0.389744,0.470817,0.571965,2
0.455089,0.326948,0.34004,0.553846,0.44358,0.524406,3
0.401197,0.339719,0.535211,0.707692,0.44358,0.622028,3
0.401199,0.430396,0.71831,0.733333,0.525292,0.622028,3
0.365271,0.515964,0.61167,0.676923,0.540856,0.533166,2
0.389221,0.515964,0.382294,0.664103,0.424125,0.469337,2
0.395211,0.455939,0.275654,0.679487,0.36965,0.36796,2
0.377246,0.41507,0.34004,0.710256,0.540856,0.36796,2
0.347306,0.427842,0.623742,0.697436,0.357977,0.372966,2
0.365271,0.472542,0.573441,0.653846,0.322957,0.399249,2
0.347306,0.480204,0.496982,0.520513,0.264591,0.434293,1
0.395211,0.526181,0.593561,0.517949,0.225681,0.423029,1
0.353294,0.60281,0.641851,0.589744,0.389105,0.321652,2
0.335331,0.606641,0.476861,0.546154,0.182879,0.418023,1
0.353292,0.46871,0.259557,0.133333,0.385214,0.411765,1
0.371259,0.469987,0.392354,0.107692,0.474708,0.269086,2
0.365269,0.533844,0.486922,0.125641,0.447471,0.415519,2
0.347306,0.565773,0.519115,0.202564,0.373541,0.446809,2
0.353294,0.57599,0.569417,0.284615,0.252918,0.520651,1
0.401197,0.293742,0.537223,0.366667,0.093385,0.501877,1
0.371259,0.485313,0.537223,0.446154,0.085603,0.59199,1
0.449102,0.469987,0.327968,0.433333,0.252918,0.438048,1
0.443114,0.448276,0.31992,0.425641,0.319066,0.385482,2
0.437126,0.426564,0.331992,0.48718,0.315175,0.44806,2
0.455089,0.440613,0.331992,0.579487,0.463035,0.316646,1
0.425151,0.464879,0.402414,0.651282,0.381323,0.350438,2
0.383232,0.509579,0.50503,0.65641,0.396887,0.34418,1
0.32934,0.55811,0.545272,0.651282,0.330739,0.30413,1
0.335331,0.551724,0.309859,0.64359,0.412451,0.352941,2
0.413174,0.326948,0.34004,0.541026,0.346304,0.553191,3
0.449102,0.381865,0.394366,0.423077,0.346304,0.768461,3
0.407186,0.47765,0.521127,0.4,0.241245,0.724656,3
0.377246,0.564496,0.559356,0.417949,0.070039,0.704631,2
0.401199,0.637292,0.593561,0.466667,0.042802,0.614518,2
0.269462,0.609195,0.440644,0.676923,0.365759,0.342929,1
0.365271,0.578544,0.533199,0.676923,0.303502,0.265332,1
0.365271,0.533844,0.474849,0.597436,0.245136,0.309136,1
0.287426,0.480204,0.547284,0.492308,0.066148,0.309136,0
0.335329,0.50447,0.629779,0.369231,0.256809,0.306633,1
0.335331,0.541507,0.750503,0.387179,0.424125,0.301627,2
0.359282,0.607918,0.704225,0.366667,0.478599,0.365457,2
0.317366,0.734355,0.61167,0.587179,0.354086,0.377972,2
0.449102,0.743295,0.587525,0.864103,0.494163,0.345432,2
0.425151,0.738186,0.591549,0.823077,0.470817,0.370463,2
0.383232,0.822478,0.249497,0.497436,0.338521,0.586984,2
0.467066,0.766284,0.267606,0.489744,0.36965,0.519399,2
0.383232,0.670498,0.501006,0.676923,0.303502,0.508135,1
0.377246,0.67433,0.537223,0.628205,0.214008,0.530663,1
0.347306,0.701149,0.585513,0.55641,0.241245,0.376721,1
0.341319,0.739464,0.573441,0.533333,0.175097,0.356696,1
0.365271,0.697318,0.317907,0.428205,0.381323,0.440551,1
0.371257,0.66539,0.267606,0.34359,0.396887,0.267835,1
0.413174,0.62069,0.267606,0.3,0.435798,0.231539,1
0.449101,0.581098,0.311871,0.330769,0.400778,0.229036,1
0.419162,0.54917,0.402414,0.423077,0.373541,0.254068,1
0.371257,0.542784,0.501006,0.602564,0.198444,0.370463,1
0.395209,0.527458,0.478873,0.738462,0.284047,0.322904,1
0.395209,0.485313,0.454728,0.723077,0.494163,0.284105,1
0.419162,0.469987,0.599598,0.597436,0.249027,0.355444,1
0.341317,0.49553,0.65996,0.597436,0.346304,0.32791,1
0.413174,0.555556,0.633803,0.689744,0.385214,0.277847,2
0.431139,0.462324,0.490946,0.682051,0.59144,0.406758,2
0.335331,0.688378,0.533199,0.68718,0.381323,0.30413,1
0.365269,0.342273,0.593561,0.725641,0.735409,0.75219,3
0.329342,0.384419,0.841046,0.574359,0.552529,0.727159,3
0.413174,0.348659,0.684105,0.828205,0.634241,0.624531,3
0.287426,0.478927,0.661972,0.658974,0.463035,0.505632,2
0.221557,0.482759,0.684105,0.533333,0.276265,0.461827,3
0.257486,0.496807,0.686117,0.464103,0.381323,0.555695,2
0.311377,0.62069,0.603622,0.233333,0.365759,0.468085,2
0.323354,0.699872,0.515091,0.207692,0.210117,0.533166,2
0.317366,0.761175,0.515091,0.461538,0.081712,0.44806,1
0.275449,0.616858,0.368209,0.735897,0.455253,0.244055,2
0.377246,0.526181,0.295775,0.794872,0.59144,0.285357,3
0.383234,0.411239,0.307847,0.835897,0.809339,0.505632,3
0.407186,0.320562,0.613682,0.666667,0.322957,0.603254,3
0.335331,0.366539,0.77666,0.587179,0.455253,0.61577,3
0.401199,0.371648,0.704225,0.658974,0.381323,0.596996,2
0.335331,0.941252,0.758551,0.115385,0.801556,0.541927,3
0.491019,0.541507,0.400402,0.461538,0.128405,0.645807,2
0.485029,0.536398,0.38833,0.392308,0.155642,0.634543,2
0.449101,0.514687,0.392354,0.312821,0.2607,0.703379,2
0.461077,0.403576,0.384306,0.361538,0.385214,0.366708,1
0.491017,0.569604,0.653924,0.864103,0.544747,0.440551,3
0.550899,0.659004,0.225352,0.838462,0.735409,0.518148,3
0.461077,0.704981,0.144869,0.597436,0.692607,0.360451,3
0.550899,0.696041,0.448692,0.797436,0.486381,0.420526,2
0.538921,0.756066,0.482897,0.705128,0.284047,0.47184,2
0.413174,0.799489,0.617706,0.525641,0.206226,0.425532,1
0.389222,0.83908,0.583501,0.44359,0.29572,0.451815,1
0.347306,0.93742,0.599598,0.325641,0.225681,0.297872,0
0.461077,0.768838,0.424547,0.71282,0.420233,0.180225,1
0.455091,0.762452,0.593561,0.658974,0.40856,0.281602,1
0.413174,0.794381,0.65996,0.582051,0.342412,0.329161,1
0.347306,0.320562,0.492958,0.058974,0.70428,0.434293,2
0.233534,0.454662,0.587525,0.335897,0.326848,0.441802,2
0.479043,0.448276,0.086519,0.592308,0.809339,0.460576,3
0.502994,0.401022,0.382294,0.815385,0.486381,0.438048,2
0.425151,0.564496,0.55332,0.717949,0.404669,0.509387,2
0.413172,0.60281,0.49497,0.689744,0.385214,0.543179,2
0.520959,0.409962,0.277666,0.676923,0.688716,0.469337,2
0.401199,0.498084,0.545272,0.476923,0.077821,0.553191,2
0.347306,0.662835,0.698189,0.466667,0.2607,0.361702,2
0.359282,0.65645,0.575453,0.669231,0.252918,0.445557,1
0.431137,0.634738,0.460765,0.730769,0.439689,0.282854,1
0.425149,0.569604,0.426559,0.746154,0.505837,0.294118,1
