@RELATION "train-weka.filters.unsupervised.attribute.Remove-R11,16-17-weka.filters.unsupervised.attribute.Remove-R14"

@ATTRIBUTE air NUMERIC
@ATTRIBUTE pres NUMERIC
@ATTRIBUTE rhum NUMERIC
@ATTRIBUTE uwnd NUMERIC
@ATTRIBUTE vwnd NUMERIC
@ATTRIBUTE WDIR NUMERIC
@ATTRIBUTE WSPD NUMERIC
@ATTRIBUTE GST NUMERIC
@ATTRIBUTE DPD NUMERIC
@ATTRIBUTE APD NUMERIC
@ATTRIBUTE PRES NUMERIC
@ATTRIBUTE ATMP NUMERIC
@ATTRIBUTE WTMP NUMERIC
@ATTRIBUTE Class_WVHT {Baja, Media, Moderada, MuyAlta}

@DATA
287.200012,100910.0,92.0,-2.099991,9.400009,159.0,7.4,8.8,8.33,5.82,1008.4,14.6,14.5,Media
287.200012,101000.0,92.0,-0.399994,7.0,154.0,6.1,7.5,9.09,6.12,1009.3,14.6,14.5,Media
286.799988,100990.0,93.0,1.900009,6.0,178.0,5.8,7.1,9.09,6.28,1009.2,14.7,14.8,Media
286.700012,101060.0,93.0,5.699997,5.100006,186.0,5.4,6.7,10.0,6.59,1010.0,14.5,14.7,Media
287.100006,101160.0,92.0,-0.599991,6.800003,187.0,4.9,6.1,10.0,6.06,1010.4,14.8,14.7,Media
287.400024,101110.0,91.0,-0.300003,10.400009,157.0,6.0,7.3,9.09,5.92,1010.9,14.7,14.7,Media
287.700012,100990.0,94.0,-3.099991,10.199997,155.0,9.9,12.2,8.33,5.11,1009.5,14.4,14.7,Media
287.0,100840.0,100.0,1.100006,11.100006,184.0,8.6,10.2,5.88,5.5,1007.8,14.3,14.7,Media
287.299988,100730.0,97.0,2.900009,9.900009,177.0,8.1,9.6,6.67,5.41,1006.3,14.5,14.6,Media
287.900024,100810.0,92.0,2.900009,9.5,187.0,8.7,10.9,8.33,5.32,1007.2,14.7,14.6,Media
287.600006,100860.0,96.0,-0.300003,9.199997,170.0,7.6,8.4,9.09,5.69,1008.6,14.6,14.6,Media
287.700012,100680.0,96.0,-3.099991,10.5,152.0,9.1,10.7,8.33,5.36,1007.2,14.7,14.6,Moderada
286.900024,100660.0,99.0,2.800003,10.0,191.0,10.4,13.2,8.33,5.87,1006.1,14.6,14.6,Media
287.600006,100790.0,91.0,-0.399994,3.100006,209.0,3.7,4.9,10.0,6.61,1007.6,13.9,14.5,Media
287.5,100650.0,93.0,0.900009,3.699997,228.0,0.8,1.4,8.33,7.0,1006.7,12.9,14.6,Media
286.900024,100800.0,94.0,6.600006,4.300003,205.0,6.2,7.3,7.14,6.6,1007.3,14.2,14.6,Media
286.799988,101010.0,91.0,6.0,4.800003,197.0,6.3,7.7,7.69,5.99,1009.1,14.4,14.6,Media
286.799988,101300.0,86.0,4.699997,7.0,200.0,6.6,9.2,7.69,6.25,1011.5,13.9,14.5,Media
287.5,101560.0,86.0,2.699997,7.100006,207.0,6.1,7.3,7.69,5.87,1013.8,14.7,14.8,Media
286.900024,101590.0,95.0,1.0,7.400009,193.0,6.2,7.2,7.14,6.12,1015.7,14.5,14.8,Media
286.799988,101460.0,92.0,-1.899994,12.400009,171.0,9.3,11.2,8.33,5.47,1014.4,14.5,14.7,Moderada
287.400024,101220.0,95.0,0.0,14.300003,164.0,13.4,16.0,7.14,5.38,1011.4,14.0,14.6,Moderada
285.700012,101100.0,100.0,3.800003,12.400009,197.0,9.3,11.5,8.33,6.55,1010.4,14.8,14.5,Moderada
288.0,100900.0,98.0,2.400009,11.699997,182.0,8.4,10.5,9.09,6.67,1008.6,14.7,14.3,Moderada
288.0,100620.0,98.0,8.800003,13.800003,191.0,11.7,14.1,10.0,5.95,1005.1,14.9,14.4,Moderada
287.600006,100950.0,91.0,12.199997,8.0,238.0,11.8,14.5,10.0,6.57,1006.4,14.4,14.1,Moderada
286.600006,101330.0,90.0,9.600006,4.100006,231.0,9.1,10.7,8.33,6.22,1011.1,14.5,14.0,Moderada
287.100006,101640.0,87.0,9.600006,2.600006,247.0,7.1,8.9,10.81,6.86,1014.2,14.5,14.0,Media
286.700012,101800.0,89.0,9.199997,3.0,252.0,6.0,8.4,9.09,6.48,1016.3,14.5,14.0,Media
286.900024,101930.0,90.0,7.900009,1.100006,254.0,6.9,7.9,8.33,6.01,1017.6,14.1,14.0,Media
287.299988,102040.0,87.0,8.800003,0.699997,261.0,6.5,7.8,9.09,6.08,1019.3,14.4,14.1,Media
287.400024,102050.0,85.0,7.300003,0.400009,269.0,3.9,4.9,9.09,5.88,1018.8,14.2,14.1,Media
286.5,101960.0,85.0,5.400009,1.600006,258.0,4.7,6.4,9.09,5.83,1018.6,14.2,14.1,Baja
286.799988,101920.0,74.0,3.100006,1.400009,223.0,4.5,5.2,9.09,5.42,1017.9,13.9,14.1,Baja
286.600006,101760.0,73.0,0.0,1.400009,240.0,2.2,2.6,6.67,5.28,1018.0,14.2,14.4,Baja
287.299988,101560.0,76.0,-5.300003,1.0,120.0,2.0,2.4,8.33,6.81,1016.1,14.0,14.5,Baja
286.5,101500.0,86.0,-4.899994,-1.300003,97.0,4.4,5.4,9.09,6.61,1015.8,14.0,14.2,Baja
287.100006,101610.0,78.0,-5.5,-4.399994,40.0,4.4,5.3,8.33,4.96,1016.5,14.2,14.3,Baja
287.0,101790.0,82.0,-4.300003,-6.300003,13.0,4.2,5.1,6.67,5.44,1018.4,14.4,14.4,Baja
286.600006,102030.0,89.0,-0.800003,-7.199997,340.0,3.5,4.4,7.14,5.66,1019.9,14.4,14.4,Baja
286.600006,102320.0,91.0,2.199997,-5.399994,332.0,3.1,3.8,14.81,5.86,1022.3,14.4,14.3,Baja
287.200012,102530.0,89.0,3.5,-4.599991,318.0,3.0,3.5,6.25,5.26,1024.2,14.4,14.3,Baja
287.100006,102670.0,86.0,2.5,-2.199997,294.0,3.1,3.7,14.81,5.91,1025.9,14.8,14.8,Baja
287.100006,102630.0,82.0,3.199997,1.0,257.0,3.1,3.7,14.81,6.21,1025.7,14.5,14.8,Baja
286.799988,102620.0,84.0,2.199997,1.400009,244.0,3.8,4.5,13.79,6.04,1025.6,14.2,14.6,Baja
286.700012,102430.0,91.0,-1.300003,4.600006,144.0,2.2,2.7,14.81,6.7,1024.2,13.9,14.6,Baja
286.900024,102230.0,89.0,-3.800003,3.5,142.0,2.7,3.4,13.79,4.18,1023.6,13.8,14.6,Baja
286.700012,102160.0,91.0,-1.899994,-2.599991,79.0,5.1,5.8,5.26,3.92,1022.6,13.6,14.6,Baja
286.799988,102360.0,87.0,3.199997,-4.599991,16.0,4.5,5.6,6.25,5.29,1023.7,14.1,14.5,Baja
286.799988,102480.0,84.0,-0.199997,-3.099991,332.0,1.3,1.7,7.69,5.41,1024.6,14.4,14.6,Baja
287.799988,102410.0,81.0,-3.199997,4.600006,169.0,2.6,3.2,7.69,5.97,1024.2,14.5,15.0,Baja
287.799988,101960.0,91.0,-1.699997,10.900009,142.0,7.7,9.9,6.67,4.06,1020.2,13.8,14.6,Media
287.200012,101430.0,100.0,4.5,11.0,185.0,5.5,6.4,5.88,4.84,1013.9,14.6,14.5,Media
288.900024,101140.0,92.0,8.800003,7.100006,219.0,7.6,9.2,6.25,4.61,1010.0,14.6,14.5,Baja
287.900024,101130.0,96.0,12.300003,4.699997,246.0,5.9,6.9,6.67,5.05,1009.6,14.5,14.5,Media
287.299988,101390.0,96.0,11.699997,0.800003,271.0,6.6,8.4,7.14,5.51,1011.7,14.8,14.6,Media
286.799988,101490.0,86.0,9.800003,-1.0,272.0,6.3,7.4,7.69,5.17,1013.6,14.4,14.5,Media
287.200012,101590.0,76.0,7.5,2.600006,227.0,6.5,8.1,8.33,5.76,1014.2,14.3,14.5,Media
287.100006,101470.0,77.0,8.5,5.699997,223.0,6.7,8.1,7.69,5.09,1013.5,14.4,14.5,Media
286.5,101390.0,85.0,10.5,7.400009,228.0,9.7,11.3,7.69,5.58,1012.4,13.9,14.5,Media
287.400024,101430.0,86.0,11.800003,5.0,235.0,9.4,11.2,8.33,5.44,1011.8,14.3,14.5,Media
287.299988,101570.0,89.0,10.699997,1.800003,265.0,7.4,9.2,9.09,6.15,1013.8,14.3,14.4,Media
287.600006,101710.0,88.0,10.5,1.5,267.0,6.4,7.6,10.0,5.92,1015.9,14.6,14.6,Media
287.100006,101790.0,90.0,8.100006,1.0,256.0,5.5,6.6,9.09,6.34,1017.2,14.3,14.6,Media
286.400024,101850.0,95.0,6.900009,1.5,231.0,5.3,6.8,10.81,6.58,1017.4,14.1,14.6,Media
286.900024,101940.0,90.0,8.100006,2.100006,259.0,5.9,7.0,10.0,6.24,1018.1,13.5,14.5,Baja
287.900024,101840.0,83.0,5.199997,6.600006,229.0,6.5,7.7,10.0,5.83,1017.3,14.5,14.7,Baja
286.5,101450.0,95.0,4.300003,10.600006,185.0,7.5,9.0,8.33,5.3,1014.3,14.4,14.7,Media
286.5,100930.0,95.0,1.800003,11.800003,165.0,11.1,13.6,5.88,4.93,1008.9,13.6,14.6,Media
286.600006,100400.0,95.0,2.600006,9.699997,170.0,8.4,9.8,7.14,5.56,1004.1,13.8,14.5,Media
286.799988,100070.0,92.0,4.100006,5.0,163.0,6.8,8.3,9.09,5.95,1001.1,14.3,14.6,Moderada
287.100006,99920.0,86.0,6.699997,-0.800003,230.0,0.3,0.8,10.0,6.88,1000.0,13.8,14.7,Media
286.200012,99920.0,93.0,9.199997,-2.199997,294.0,4.8,5.6,10.0,7.12,999.1,13.6,14.6,Media
286.400024,100050.0,91.0,9.400009,-5.599991,289.0,6.8,8.4,9.09,6.53,1000.0,14.0,14.6,Media
287.100006,100280.0,87.0,10.5,-4.599991,296.0,7.6,8.7,9.09,6.27,1000.9,14.2,14.7,Media
286.900024,100530.0,86.0,11.199997,-3.0,288.0,9.6,11.7,9.09,5.61,1003.7,14.4,14.6,Media
286.600006,100660.0,88.0,11.800003,-1.0,273.0,8.6,10.3,9.09,5.64,1004.9,14.2,14.6,Media
287.0,100710.0,87.0,8.800003,3.199997,254.0,8.4,9.7,8.33,5.38,1005.7,14.1,14.5,Media
286.900024,100570.0,91.0,6.300003,5.699997,226.0,8.2,9.8,6.67,5.29,1005.1,13.8,14.7,Media
286.700012,100260.0,96.0,0.5,6.900009,179.0,6.4,7.4,7.69,5.36,1002.7,13.3,14.6,Baja
286.799988,100060.0,97.0,2.800003,0.199997,260.0,4.1,5.0,6.67,5.06,1000.9,13.4,14.7,Baja
287.200012,100350.0,90.0,7.100006,-3.800003,225.0,1.9,2.4,12.12,5.86,1002.4,14.1,14.7,Baja
288.0,100690.0,82.0,9.900009,-2.5,312.0,5.7,6.9,6.67,5.2,1004.1,14.0,14.7,Baja
286.900024,101010.0,86.0,9.600006,-4.5,291.0,8.2,9.4,7.14,4.96,1008.2,14.2,14.7,Media
286.700012,101240.0,85.0,12.199997,-1.5,287.0,8.5,9.7,9.09,5.67,1010.1,13.9,14.6,Media
287.0,101350.0,76.0,10.400009,-2.0,282.0,9.5,11.1,9.09,4.94,1012.0,13.9,14.6,Media
287.400024,101650.0,73.0,10.400009,-4.899994,290.0,9.3,11.4,8.33,5.55,1014.5,14.3,14.7,Media
286.799988,101980.0,77.0,9.699997,-4.899994,300.0,9.9,11.5,7.14,5.23,1017.8,14.1,14.6,Media
286.200012,102230.0,77.0,10.5,-2.399994,272.0,8.8,10.1,8.33,5.6,1020.2,14.1,14.6,Media
286.799988,102220.0,76.0,13.400009,-0.5,264.0,9.6,12.3,7.69,5.22,1020.3,14.2,14.5,Media
287.400024,102350.0,75.0,12.699997,0.900009,264.0,10.4,12.3,7.14,5.59,1021.0,14.4,14.6,Media
286.600006,102310.0,81.0,13.0,0.400009,273.0,9.0,10.5,8.33,5.48,1021.1,14.4,14.5,Media
286.600006,102350.0,84.0,9.400009,2.100006,258.0,8.9,10.3,7.14,5.42,1021.4,13.9,14.4,Media
287.5,102190.0,88.0,8.300003,4.5,237.0,7.0,8.1,8.33,5.53,1021.1,14.1,14.3,Media
287.400024,102150.0,97.0,4.5,4.300003,177.0,5.6,6.4,7.69,5.14,1020.1,14.3,14.4,Baja
287.700012,101980.0,99.0,4.900009,4.699997,230.0,5.3,6.3,7.14,5.24,1018.7,14.4,14.4,Media
287.400024,102070.0,100.0,8.800003,5.699997,223.0,9.3,10.4,5.88,4.62,1018.5,14.7,14.4,Media
288.299988,102130.0,94.0,8.600006,7.600006,233.0,8.3,10.1,5.88,4.79,1018.8,15.2,14.4,Media
288.200012,102110.0,93.0,9.100006,10.699997,212.0,10.3,12.7,6.25,4.77,1018.9,15.3,14.5,Media
287.700012,102080.0,98.0,7.900009,11.400009,207.0,10.8,13.2,7.14,4.8,1018.9,14.8,14.5,Moderada
287.700012,102050.0,95.0,6.199997,13.5,200.0,10.6,12.7,7.14,5.64,1018.6,15.0,14.4,Moderada
288.100006,101920.0,90.0,5.100006,12.800003,198.0,12.1,15.2,7.14,5.64,1017.2,14.9,14.4,Moderada
288.400024,101800.0,92.0,4.199997,12.900009,194.0,10.9,13.3,8.33,5.81,1016.8,15.1,14.4,Moderada
288.299988,101520.0,97.0,5.5,11.699997,191.0,11.0,13.6,8.33,5.47,1013.2,15.0,14.4,Moderada
287.200012,101490.0,100.0,7.5,6.0,233.0,7.5,8.9,9.09,6.06,1013.3,14.6,14.4,Media
287.200012,101490.0,99.0,4.800003,-0.099991,271.0,4.7,5.5,9.09,6.31,1014.1,14.0,14.4,Baja
287.5,101520.0,96.0,4.699997,-3.300003,280.0,5.0,6.0,7.69,5.73,1014.8,14.0,14.6,Baja
286.799988,101530.0,97.0,6.300003,-4.800003,278.0,5.6,6.6,8.33,5.59,1014.6,14.3,14.5,Baja
286.900024,101600.0,90.0,7.800003,-4.699997,270.0,5.1,6.1,7.14,4.77,1014.8,14.4,14.5,Media
286.700012,101680.0,88.0,10.300003,-2.300003,268.0,6.8,8.3,7.69,4.84,1015.1,14.3,14.5,Media
287.0,101800.0,87.0,10.699997,-1.899994,278.0,8.3,10.0,7.14,4.86,1016.4,14.6,14.5,Media
286.799988,101850.0,86.0,8.0,-2.199997,294.0,5.3,6.2,5.88,5.0,1017.3,14.2,14.5,Baja
286.600006,101950.0,86.0,6.400009,-2.0,286.0,5.3,6.0,6.25,4.76,1018.6,14.2,14.5,Baja
286.700012,101970.0,85.0,5.699997,-0.699997,268.0,3.2,3.9,7.14,5.53,1019.1,14.4,14.5,Baja
287.400024,102070.0,84.0,5.900009,2.400009,254.0,3.8,4.4,16.0,4.75,1019.9,13.9,14.5,Baja
287.0,102040.0,89.0,4.300003,2.300003,200.0,3.7,4.6,14.81,7.63,1020.1,13.6,14.5,Media
287.100006,102050.0,91.0,0.199997,4.5,150.0,4.2,5.0,12.12,8.57,1020.0,13.2,14.5,Media
287.299988,101970.0,94.0,-1.899994,5.900009,168.0,5.3,6.5,12.12,7.72,1019.6,13.9,14.5,Media
288.299988,101870.0,94.0,-5.099991,6.300003,159.0,6.5,7.6,10.81,6.12,1019.4,14.2,14.6,Media
288.0,101730.0,97.0,-2.899994,5.900009,135.0,8.4,10.1,12.12,5.29,1018.2,13.8,14.5,Media
287.299988,101810.0,99.0,3.199997,4.600006,174.0,4.8,5.6,10.81,5.99,1017.3,14.4,14.5,Media
286.900024,101930.0,95.0,7.800003,1.600006,226.0,4.3,5.1,11.43,6.52,1018.2,14.2,14.5,Media
288.100006,102130.0,78.0,9.699997,-2.0,285.0,7.3,8.7,10.0,5.76,1019.8,14.3,14.6,Media
286.799988,102320.0,74.0,7.600006,-1.899994,280.0,4.7,5.7,10.0,6.03,1022.0,14.2,14.6,Media
286.600006,102390.0,80.0,2.600006,0.199997,264.0,1.7,3.1,11.43,6.37,1023.5,14.0,14.5,Baja
287.200012,102410.0,84.0,-2.399994,5.699997,127.0,5.7,6.6,6.67,6.19,1024.2,14.0,14.5,Baja
287.700012,102270.0,95.0,-1.699997,9.600006,142.0,8.4,10.0,6.67,5.07,1023.2,14.6,14.5,Baja
287.799988,102240.0,98.0,-0.199997,12.100006,167.0,6.9,8.3,5.56,4.9,1022.4,14.8,14.5,Media
287.799988,102240.0,95.0,1.5,12.0,173.0,9.5,11.1,6.67,4.58,1021.5,14.8,14.5,Media
288.299988,102190.0,90.0,1.100006,13.199997,179.0,10.0,12.6,8.33,5.72,1021.2,15.0,14.5,Media
289.200012,102030.0,86.0,-0.899994,14.400009,165.0,9.9,11.6,8.33,5.4,1019.9,15.5,14.6,Moderada
287.700012,101860.0,94.0,-0.699997,13.699997,166.0,9.8,11.4,8.33,5.96,1018.4,15.2,14.6,Moderada
287.799988,101700.0,94.0,-0.800003,13.900009,164.0,10.2,12.7,9.09,5.97,1016.9,15.0,14.6,Moderada
287.600006,101530.0,96.0,-0.199997,11.400009,163.0,9.8,11.9,10.0,6.79,1015.1,14.8,14.6,Moderada
288.200012,101330.0,94.0,-2.699997,12.800003,162.0,9.4,11.2,10.0,6.3,1013.6,15.1,14.7,Moderada
286.900024,101160.0,100.0,0.100006,11.5,162.0,11.1,13.5,10.0,5.67,1011.2,15.2,14.6,Moderada
287.799988,101110.0,96.0,-1.599991,8.800003,159.0,10.5,12.5,9.09,6.06,1010.1,15.3,14.6,Media
287.200012,101110.0,100.0,-0.899994,7.800003,169.0,7.1,8.2,10.0,5.98,1010.2,14.8,14.6,Media
288.0,100880.0,96.0,-1.199997,8.400009,152.0,8.9,10.6,9.09,5.87,1008.1,15.3,14.6,Media
286.600006,100880.0,98.0,7.199997,8.5,246.0,7.6,9.5,12.12,5.84,1007.9,13.6,14.6,Moderada
286.900024,100960.0,89.0,3.800003,6.5,198.0,7.0,8.3,12.9,7.3,1009.0,14.4,14.5,Moderada
286.700012,101070.0,89.0,3.900009,4.400009,205.0,5.9,7.6,13.79,7.62,1009.7,14.4,14.5,Media
286.700012,101180.0,88.0,2.199997,2.199997,233.0,4.5,5.9,13.79,7.09,1013.1,14.6,14.7,Moderada
286.799988,101260.0,88.0,3.5,2.300003,222.0,4.6,5.8,12.9,8.45,1012.2,14.3,14.6,Media
286.299988,101370.0,90.0,4.300003,-0.399994,259.0,4.8,5.9,12.12,7.41,1012.9,14.3,14.6,Media
286.0,101340.0,87.0,3.400009,0.199997,228.0,3.1,4.6,10.81,7.84,1013.0,14.3,14.6,Media
287.0,101340.0,76.0,2.900009,1.199997,250.0,1.3,1.9,7.14,6.56,1013.0,14.5,14.7,Media
