@relation 'train-weka.filters.unsupervised.attribute.Remove-R11,16-17-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.MathExpression-EA*100-V-R11-weka.filters.unsupervised.attribute.MathExpression-EA-273.15-V-R1-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R1-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R2-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R3-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R4-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R5-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R6-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R7-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R8-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R9-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R10-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R11-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R12-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R13-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R1,5,8'

@attribute pres numeric
@attribute uwnd numeric
@attribute vwnd numeric
@attribute GST numeric
@attribute APD numeric
@attribute ATMP numeric
@attribute Class_WVHT {0,1,2,3}

@data
0.771392,0.334004,0.592308,0.36965,0.198999,0.922156,1
0.793103,0.315895,0.576923,0.326848,0.230288,0.922156,0
0.808429,0.313883,0.502564,0.299611,0.191489,0.934132,0
0.813538,0.327968,0.515385,0.284047,0.216521,0.934132,0
0.812261,0.346076,0.525641,0.264591,0.18398,0.922156,0
0.802043,0.323944,0.48718,0.249027,0.212766,0.916168,0
0.786718,0.307847,0.510256,0.326848,0.176471,0.934132,1
0.775223,0.323944,0.594872,0.350195,0.20025,0.874251,1
0.766284,0.344064,0.541026,0.307393,0.267835,0.898204,0
0.736909,0.305835,0.489743,0.303502,0.173967,0.922156,1
0.694764,0.311871,0.587179,0.486381,0.186483,0.922156,1
0.687101,0.416499,0.674359,0.354086,0.210263,0.928144,0
0.699872,0.527163,0.682051,0.315175,0.241552,0.868263,0
0.713921,0.490946,0.607692,0.245136,0.195244,0.898204,0
0.701149,0.422535,0.576923,0.272374,0.180225,0.892216,0
0.650064,0.273642,0.525641,0.299611,0.185232,0.874251,1
0.565773,0.352113,0.5,0.451362,0.187735,0.886228,1
0.556833,0.571429,0.710256,0.077821,0.259074,0.904192,1
0.597701,0.573441,0.835897,0.494163,0.300375,0.904192,1
0.619413,0.541247,0.766667,0.404669,0.336671,0.892216,1
0.639847,0.605634,0.669231,0.322957,0.339174,0.898204,1
0.662835,0.645875,0.607692,0.120623,0.377972,0.874251,1
0.690932,0.657948,0.541026,0.206226,0.410513,0.886228,1
0.724138,0.629779,0.6,0.284047,0.35169,0.91018,0
0.726692,0.615694,0.651282,0.307393,0.252816,0.892216,1
0.736909,0.627767,0.641026,0.357977,0.236546,0.892216,1
0.740741,0.607646,0.623077,0.284047,0.249061,0.862275,1
0.735632,0.569417,0.602564,0.338521,0.20025,0.892216,0
0.707535,0.571429,0.54359,0.268482,0.187735,0.874251,0
0.698595,0.569417,0.494872,0.18677,0.252816,0.838323,0
0.688378,0.571429,0.505128,0.175097,0.225282,0.886228,0
0.684547,0.525151,0.61282,0.190661,0.226533,0.916168,0
0.648787,0.49497,0.702564,0.33463,0.115144,0.904192,0
0.62069,0.454728,0.748718,0.400778,0.140175,0.886228,1
0.581098,0.450704,0.75641,0.459144,0.212766,0.898204,2
0.554278,0.424547,0.815385,0.540856,0.306633,0.898204,2
0.52235,0.416499,0.764103,0.490272,0.423029,0.904192,2
0.491699,0.418511,0.666667,0.404669,0.433041,0.904192,2
0.503193,0.559356,0.610257,0.241245,0.387985,0.868263,1
0.527458,0.51509,0.633333,0.29572,0.435544,0.928144,1
0.521073,0.418511,0.623077,0.291829,0.382979,0.91018,1
0.500639,0.414487,0.610257,0.29572,0.36796,0.922156,1
0.501916,0.513079,0.725641,0.377432,0.339174,0.934132,1
0.564496,0.595573,0.794872,0.447471,0.291615,0.946108,2
0.604087,0.482897,0.728205,0.346304,0.356696,0.946108,1
0.624521,0.448692,0.7,0.326848,0.340426,0.928144,1
0.636015,0.482897,0.638462,0.276265,0.377972,0.928144,1
0.634738,0.529175,0.61282,0.2607,0.397997,0.934132,1
0.643678,0.605634,0.589744,0.245136,0.436796,0.922156,1
0.65645,0.478873,0.633333,0.22179,0.370463,0.94012,1
0.650064,0.484909,0.725641,0.268482,0.352941,0.934132,1
0.634738,0.428572,0.720513,0.459144,0.251564,0.916168,1
0.615581,0.513079,0.74359,0.381323,0.300375,0.91018,1
0.601533,0.549296,0.712821,0.357977,0.289111,0.922156,1
0.61175,0.549296,0.702564,0.40856,0.277847,0.934132,1
0.618135,0.484909,0.694872,0.311284,0.324155,0.928144,1
0.595147,0.428572,0.728205,0.400778,0.282854,0.934132,2
0.592593,0.547284,0.715385,0.498054,0.346683,0.928144,1
0.609195,0.482897,0.538462,0.175097,0.439299,0.886228,1
0.591315,0.509054,0.553846,0.038911,0.48811,0.826347,1
0.610473,0.623743,0.569231,0.268482,0.438048,0.904192,1
0.637292,0.61167,0.582051,0.284047,0.361702,0.916168,1
0.67433,0.585513,0.638462,0.342412,0.394243,0.886228,1
0.707535,0.545272,0.641026,0.268482,0.346683,0.934132,1
0.711367,0.511066,0.648718,0.264591,0.377972,0.922156,1
0.694764,0.452716,0.776923,0.420233,0.296621,0.922156,2
0.664112,0.490946,0.825641,0.607004,0.285357,0.892216,2
0.648787,0.567404,0.776923,0.431907,0.43179,0.94012,2
0.623244,0.539236,0.758974,0.392996,0.446809,0.934132,2
0.587484,0.668008,0.812821,0.533074,0.356696,0.946108,2
0.62963,0.736418,0.664103,0.548638,0.434293,0.916168,2
0.678161,0.684105,0.564103,0.400778,0.390488,0.922156,2
0.717752,0.684105,0.525641,0.330739,0.470588,0.922156,1
0.738186,0.676056,0.535897,0.311284,0.423029,0.922156,1
0.754789,0.6499,0.48718,0.291829,0.364205,0.898204,1
0.768838,0.668008,0.476923,0.287938,0.372966,0.916168,1
0.770115,0.637827,0.469231,0.175097,0.347935,0.904192,1
0.758621,0.599598,0.5,0.233463,0.341677,0.904192,0
0.753512,0.55332,0.494872,0.18677,0.290363,0.886228,0
0.733078,0.490946,0.494872,0.085603,0.272841,0.904192,0
0.707535,0.384306,0.484615,0.077821,0.46433,0.892216,0
0.699872,0.392354,0.425641,0.194553,0.439299,0.892216,0
0.713921,0.380282,0.346154,0.190661,0.232791,0.904192,0
0.736909,0.404426,0.297436,0.182879,0.292866,0.916168,0
0.767561,0.474849,0.274359,0.155642,0.320401,0.916168,0
0.804598,0.535211,0.320513,0.132296,0.345432,0.916168,0
0.831418,0.561368,0.341026,0.120623,0.270338,0.916168,0
0.849298,0.541247,0.402564,0.128405,0.35169,0.94012,0
0.844189,0.555332,0.484615,0.128405,0.389237,0.922156,0
0.842912,0.535211,0.494872,0.159533,0.36796,0.904192,0
0.818646,0.464789,0.576923,0.089494,0.450563,0.886228,0
0.793103,0.414487,0.548718,0.116732,0.135169,0.88024,0
0.784163,0.452716,0.392308,0.210117,0.102628,0.868263,0
0.809706,0.555332,0.341026,0.202335,0.274093,0.898204,0
0.825032,0.486922,0.379487,0.050584,0.289111,0.916168,0
0.816092,0.426559,0.576923,0.108949,0.359199,0.922156,0
0.758621,0.45674,0.738462,0.36965,0.12015,0.88024,1
0.690932,0.581489,0.741026,0.233463,0.217772,0.928144,1
0.653895,0.668008,0.641026,0.342412,0.188986,0.928144,0
0.652618,0.738431,0.579487,0.252918,0.244055,0.922156,1
0.685824,0.726358,0.479487,0.311284,0.301627,0.94012,1
0.698595,0.688129,0.433333,0.272374,0.259074,0.916168,1
0.711367,0.641851,0.525641,0.299611,0.332916,0.91018,1
0.696041,0.661972,0.605128,0.299611,0.249061,0.916168,1
0.685824,0.702213,0.648718,0.424125,0.310388,0.886228,1
0.690932,0.72837,0.587179,0.420233,0.292866,0.91018,1
0.708812,0.706237,0.505128,0.342412,0.381727,0.91018,1
0.726692,0.702213,0.497436,0.280156,0.352941,0.928144,1
0.736909,0.653924,0.484615,0.241245,0.405507,0.91018,1
0.744572,0.629779,0.497436,0.249027,0.435544,0.898204,1
0.756066,0.653924,0.512821,0.256809,0.392991,0.862275,0
0.743295,0.595573,0.628205,0.284047,0.341677,0.922156,0
0.693487,0.577465,0.730769,0.33463,0.275344,0.916168,1
0.627075,0.527163,0.761538,0.513619,0.229036,0.868263,1
0.559387,0.54326,0.707692,0.365759,0.307885,0.88024,1
0.517241,0.573441,0.587179,0.307393,0.356696,0.91018,2
0.498084,0.625754,0.438461,0.015564,0.473091,0.88024,1
0.498084,0.676056,0.402564,0.202335,0.503129,0.868263,1
0.514687,0.680081,0.315385,0.311284,0.429287,0.892216,1
0.544061,0.702213,0.341026,0.322957,0.396746,0.904192,1
0.57599,0.716298,0.382051,0.439689,0.314143,0.916168,1
0.592593,0.72837,0.433333,0.385214,0.317897,0.904192,1
0.598978,0.668008,0.541026,0.361868,0.285357,0.898204,1
0.581098,0.617706,0.605128,0.365759,0.274093,0.88024,1
0.541507,0.501006,0.635898,0.272374,0.282854,0.850299,0
0.515964,0.547284,0.464102,0.178988,0.245307,0.856287,0
0.553001,0.633803,0.361538,0.077821,0.345432,0.898204,0
0.596424,0.690141,0.394872,0.252918,0.262829,0.892216,0
0.637292,0.684105,0.34359,0.350195,0.232791,0.904192,1
0.666667,0.736418,0.420513,0.361868,0.321652,0.886228,1
0.680715,0.700201,0.407692,0.416342,0.230288,0.886228,1
0.719029,0.700201,0.333333,0.428016,0.306633,0.91018,1
0.761175,0.686117,0.333333,0.431907,0.266583,0.898204,1
0.793103,0.702213,0.397436,0.377432,0.312891,0.898204,1
0.791826,0.760564,0.446154,0.463035,0.265332,0.904192,1
0.808429,0.746479,0.482051,0.463035,0.31164,0.916168,1
0.803321,0.752515,0.469231,0.392996,0.297872,0.916168,1
0.808429,0.680081,0.512821,0.385214,0.290363,0.886228,1
0.787995,0.657948,0.574359,0.299611,0.30413,0.898204,1
0.782886,0.581489,0.569231,0.233463,0.255319,0.91018,0
0.761175,0.589537,0.579487,0.229572,0.267835,0.916168,1
0.772669,0.668008,0.605128,0.389105,0.190238,0.934132,1
0.780332,0.663984,0.653846,0.377432,0.211514,0.964072,1
0.777778,0.674044,0.733333,0.478599,0.209011,0.97006,1
0.773946,0.6499,0.751282,0.498054,0.212766,0.94012,2
0.770115,0.615694,0.805128,0.478599,0.317897,0.952096,2
0.753512,0.593561,0.78718,0.575875,0.317897,0.946108,2
0.738186,0.575453,0.789744,0.501946,0.339174,0.958084,2
0.702427,0.60161,0.758974,0.513619,0.296621,0.952096,2
0.698595,0.641851,0.61282,0.330739,0.370463,0.928144,1
0.698595,0.587525,0.45641,0.198444,0.401752,0.892216,0
0.702427,0.585513,0.374359,0.217899,0.329161,0.892216,0
0.703704,0.617706,0.335897,0.241245,0.31164,0.91018,0
0.712644,0.647887,0.338462,0.22179,0.209011,0.916168,1
0.722861,0.698189,0.4,0.307393,0.217772,0.91018,1
0.738186,0.706237,0.410257,0.373541,0.220275,0.928144,1
0.744572,0.651911,0.402564,0.225681,0.237797,0.904192,0
0.757344,0.619718,0.407692,0.217899,0.20776,0.904192,0
0.759898,0.605634,0.441026,0.136187,0.30413,0.916168,0
0.772669,0.609658,0.520513,0.155642,0.206508,0.886228,0
0.768838,0.577465,0.517949,0.163424,0.566959,0.868263,1
0.770115,0.49497,0.574359,0.178988,0.684606,0.844311,1
0.759898,0.452716,0.610257,0.237354,0.578223,0.886228,1
0.747126,0.38833,0.620513,0.280156,0.377972,0.904192,1
0.729246,0.432596,0.610257,0.377432,0.274093,0.88024,1
0.739464,0.555332,0.576923,0.202335,0.361702,0.916168,1
0.754789,0.647887,0.5,0.182879,0.428035,0.904192,1
0.780332,0.686117,0.407692,0.322957,0.332916,0.91018,1
0.804598,0.643863,0.410257,0.206226,0.366708,0.904192,1
0.813538,0.54326,0.464102,0.105058,0.409262,0.892216,0
0.816092,0.442656,0.605128,0.241245,0.386733,0.892216,0
0.798212,0.45674,0.705128,0.373541,0.246558,0.928144,0
0.794381,0.486922,0.769231,0.307393,0.225282,0.94012,1
0.794381,0.521127,0.766667,0.416342,0.185232,0.94012,1
0.787995,0.513079,0.797436,0.474708,0.32791,0.952096,1
0.767561,0.472837,0.828205,0.435798,0.28786,0.982036,2
0.745849,0.476861,0.810256,0.428016,0.357947,0.964072,2
0.725415,0.474849,0.815385,0.478599,0.359199,0.952096,2
0.703704,0.486922,0.751282,0.447471,0.461827,0.94012,2
0.678161,0.43662,0.78718,0.420233,0.400501,0.958084,2
0.65645,0.492958,0.753846,0.509728,0.321652,0.964072,2
0.650064,0.458753,0.684615,0.470817,0.370463,0.97006,1
0.650064,0.472837,0.658974,0.303502,0.360451,0.94012,1
0.62069,0.466801,0.674359,0.396887,0.346683,0.97006,1
0.62069,0.635815,0.676923,0.354086,0.342929,0.868263,2
0.630907,0.567404,0.625641,0.307393,0.525657,0.916168,2
0.644955,0.569417,0.571795,0.280156,0.565707,0.916168,1
0.659004,0.535211,0.515385,0.214008,0.499374,0.928144,2
0.669221,0.561368,0.517949,0.210117,0.669587,0.91018,1
0.683269,0.577465,0.448718,0.214008,0.539424,0.91018,1
0.679438,0.559356,0.464102,0.163424,0.593242,0.91018,1
0.679438,0.549296,0.489743,0.058366,0.433041,0.922156,1
0.63857,0.490946,0.633333,0.198444,0.503129,0.91018,1
0.577267,0.426559,0.751282,0.354086,0.259074,0.898204,1
0.500639,0.39839,0.807692,0.533074,0.261577,0.874251,2
0.425287,0.410463,0.751282,0.603113,0.385482,0.844311,2
0.33461,0.414487,0.730769,0.330739,0.443054,0.904192,1
0.254151,0.488934,0.8,0.439689,0.331665,0.916168,2
0.222222,0.67002,0.679487,0.36965,0.360451,0.928144,1
0.272031,0.847082,0.615385,0.206226,0.382979,0.934132,3
0.37037,0.865191,0.638462,0.696498,0.436796,0.814371,3
0.469987,0.839034,0.628205,0.649805,0.560701,0.868263,3
0.538953,0.712274,0.705128,0.501946,0.509387,0.892216,2
0.581098,0.51509,0.635898,0.315175,0.50438,0.898204,2
0.551724,0.402415,0.425641,0.217899,0.56821,0.88024,1
0.54023,0.549296,0.374359,0.031128,0.451815,0.772455,1
0.577267,0.589537,0.423077,0.163424,0.494368,0.838323,1
0.60281,0.476861,0.448718,0.11284,0.423029,0.862275,1
0.563218,0.44668,0.361538,0.101167,0.510638,0.838323,1
0.491699,0.484909,0.215385,0.326848,0.418023,0.838323,1
0.412516,0.61167,0.120513,0.470817,0.227785,0.844311,1
0.454662,0.798793,0.341026,0.501946,0.272841,0.838323,2
0.510856,0.631791,0.502564,0.389105,0.334168,0.844311,1
0.544061,0.513079,0.55641,0.252918,0.385482,0.844311,1
0.560664,0.45674,0.523077,0.163424,0.409262,0.784431,1
0.59387,0.478873,0.494872,0.050584,0.369212,0.856287,1
0.61175,0.424547,0.433333,0.128405,0.39174,0.838323,0
0.616858,0.368209,0.389744,0.178988,0.369212,0.838323,0
0.613027,0.362173,0.276923,0.291829,0.254068,0.850299,0
0.595147,0.38833,0.197436,0.365759,0.150188,0.856287,1
0.572158,0.404426,0.087179,0.439689,0.150188,0.838323,1
0.55811,0.581489,0.084616,0.478599,0.225282,0.826347,1
0.55811,0.595573,0.097436,0.455253,0.261577,0.820359,1
0.573436,0.627767,0.164103,0.40856,0.251564,0.850299,1
0.582375,0.557344,0.25641,0.315175,0.26408,0.844311,1
0.590038,0.575453,0.182051,0.2607,0.297872,0.838323,1
0.609195,0.503018,0.215385,0.29572,0.386733,0.916168,1
0.627075,0.460765,0.228205,0.276265,0.36796,0.904192,1
0.62963,0.434608,0.333333,0.284047,0.483104,0.88024,1
0.609195,0.503018,0.382051,0.18677,0.461827,0.838323,1
0.581098,0.450704,0.479487,0.11284,0.481852,0.856287,1
0.545338,0.426559,0.630769,0.163424,0.576971,0.856287,1
0.521073,0.503018,0.625641,0.233463,0.410513,0.850299,1
0.510856,0.557344,0.638462,0.40856,0.256571,0.820359,1
0.503193,0.50503,0.712821,0.284047,0.290363,0.862275,1
0.457216,0.470825,0.712821,0.420233,0.299124,0.88024,2
0.435504,0.478873,0.648718,0.420233,0.423029,0.844311,2
0.421456,0.541247,0.630769,0.342412,0.418023,0.832335,2
0.436782,0.533199,0.517949,0.206226,0.413016,0.844311,1
0.466156,0.61167,0.353846,0.330739,0.421777,0.832335,1
0.528736,0.623743,0.223077,0.447471,0.275344,0.862275,1
0.583653,0.726358,0.271795,0.412451,0.26408,0.850299,1
0.62069,0.704225,0.364103,0.400778,0.294118,0.838323,1
0.65645,0.730382,0.374359,0.400778,0.332916,0.862275,2
0.684547,0.720322,0.379487,0.595331,0.357947,0.796407,2
0.717752,0.750503,0.315385,0.529183,0.428035,0.760479,2
0.750958,0.732394,0.312821,0.505837,0.38423,0.796407,2
0.777778,0.730382,0.246154,0.490272,0.394243,0.796407,2
0.794381,0.569417,0.3,0.326848,0.441802,0.754491,2
0.799489,0.492958,0.333333,0.171206,0.403004,0.736527,0
0.800766,0.323944,0.489743,0.202335,0.375469,0.748503,0
0.780332,0.245473,0.566667,0.350195,0.202753,0.784431,1
0.722861,0.134809,0.492308,0.505837,0.214018,0.760479,2
0.590038,0.022133,0.551282,0.66537,0.34418,0.766467,3
0.422733,0.16499,0.664103,0.883268,0.590738,0.736527,3
0.389527,0.488934,0.930769,0.40856,0.620776,0.892216,3
0.351213,0.434608,0.966667,0.470817,0.663329,0.874251,3
0.277139,0.531187,0.979487,0.673152,0.474343,0.838323,3
0.300128,0.730382,0.764103,0.735409,0.647059,0.808383,3
0.425287,0.826962,0.469231,0.490272,0.650814,0.868263,3
0.561941,0.7666,0.441026,0.575875,0.454318,0.784431,2
0.62963,0.657948,0.64359,0.505837,0.531915,0.748503,2
0.636015,0.537223,0.725641,0.40856,0.382979,0.796407,2
0.606641,0.517103,0.764103,0.451362,0.354193,0.832335,2
0.533844,0.476861,0.776923,0.463035,0.381727,0.838323,2
0.453384,0.661972,0.661539,0.715953,0.369212,0.88024,2
0.53129,0.796781,0.415385,0.540856,0.390488,0.688623,2
0.615581,0.762575,0.505128,0.599222,0.390488,0.676647,2
0.678161,0.762575,0.512821,0.599222,0.423029,0.622754,3
0.716475,0.71831,0.474359,0.529183,0.546934,0.640719,2
0.740741,0.676056,0.479487,0.36965,0.435544,0.634731,2
0.744572,0.680081,0.428205,0.280156,0.479349,0.592814,2
0.744572,0.61167,0.402564,0.361868,0.379224,0.598802,1
0.736909,0.559356,0.315385,0.330739,0.460576,0.580838,1
0.726692,0.503018,0.297436,0.132296,0.394243,0.592814,0
0.713921,0.525151,0.297436,0.229572,0.30413,0.580838,0
0.702427,0.448692,0.358974,0.062257,0.339174,0.586826,0
0.681992,0.432596,0.369231,0.108949,0.326658,0.568862,0
0.65645,0.321932,0.397436,0.178988,0.461827,0.616766,0
0.59387,0.279678,0.448718,0.326848,0.123905,0.688623,1
0.524904,0.273642,0.517949,0.459144,0.198999,0.760479,1
0.435504,0.34004,0.692308,0.466926,0.232791,0.748503,1
0.348659,0.484909,0.812821,0.51751,0.257822,0.826347,1
0.326948,0.583501,0.710256,0.280156,0.276596,0.814371,1
0.315453,0.569417,0.689744,0.404669,0.325407,0.814371,1
0.312899,0.535211,0.815385,0.486381,0.418023,0.790419,3
0.309068,0.478873,0.887179,0.486381,0.698373,0.820359,3
0.278416,0.539236,0.917949,0.649805,0.765957,0.814371,3
0.297573,0.732394,0.733333,0.579767,0.881101,0.796407,3
0.394636,0.839034,0.638462,0.677043,0.609512,0.748503,3
0.494253,0.736418,0.625641,0.525292,0.685857,0.766467,3
0.553001,0.65996,0.666667,0.307393,0.56821,0.760479,2
0.545338,0.460765,0.666667,0.284047,0.590738,0.760479,2
0.422733,0.283702,0.669231,0.455253,0.514393,0.748503,2
0.381865,0.615694,0.679487,0.509728,0.439299,0.772455,3
0.43295,0.806841,0.68718,0.719844,0.489362,0.598802,3
0.482759,0.641851,0.635898,0.346304,0.516896,0.634731,2
0.464879,0.496982,0.551282,0.202335,0.503129,0.54491,1
0.416347,0.418511,0.379487,0.214008,0.42428,0.520958,2
0.346105,0.503018,0.117949,0.560311,0.361702,0.682635,2
0.324393,0.609658,0,0.692607,0.387985,0.670659,3
0.335888,0.60161,0.017949,0.692607,0.470588,0.712575,3
0.360153,0.480885,0.064103,0.459144,0.57572,0.724551,3
0.38825,0.490946,0.153846,0.354086,0.520651,0.718563,2
0.385696,0.44668,0.135898,0.439689,0.451815,0.706587,2
0.381865,0.480885,0.115385,0.44358,0.411765,0.682635,2
0.385696,0.503018,0.138462,0.463035,0.426783,0.694611,2
0.40613,0.551308,0.174359,0.505837,0.336671,0.736527,2
0.431673,0.557344,0.220513,0.51751,0.345432,0.700599,2
0.457216,0.623743,0.333333,0.490272,0.322904,0.634731,1
0.47765,0.639839,0.374359,0.459144,0.225282,0.676647,1
0.490421,0.643863,0.492308,0.412451,0.206508,0.694611,0
0.481481,0.539236,0.535897,0.233463,0.216521,0.670659,0
0.453384,0.547284,0.566667,0.093385,0.326658,0.646707,0
0.425287,0.460765,0.538462,0.097276,0.49562,0.664671,0
0.395913,0.464789,0.535897,0.159533,0.594493,0.670659,1
0.367816,0.354125,0.510256,0.225681,0.79975,0.664671,1
0.324393,0.263581,0.430769,0.326848,0.617021,0.670659,1
0.266922,0.237425,0.335897,0.494163,0.356696,0.670659,2
0.238825,0.370221,0.35641,0.715953,0.336671,0.610778,2
0.232439,0.420523,0.451282,0.326848,0.416771,0.736527,2
0.242656,0.466801,0.489744,0.299611,0.48811,0.718563,2
0.249042,0.531187,0.433333,0.105058,0.541927,0.688623,2
0.283525,0.708249,0.361538,0.237354,0.579474,0.694611,2
0.329502,0.67002,0.45641,0.455253,0.360451,0.670659,2
0.363985,0.730382,0.5,0.439689,0.399249,0.60479,2
0.378033,0.531187,0.546154,0.287938,0.435544,0.586826,2
0.344828,0.301811,0.538462,0.299611,0.546934,0.592814,1
0.287356,0.237425,0.410256,0.357977,0.414268,0.628743,1
0.233716,0.313883,0.25641,0.412451,0.321652,0.646707,2
0.183908,0.410463,0.238462,0.416342,0.374218,0.610778,2
0.168582,0.545272,0.289744,0.326848,0.465582,0.718563,2
0.16986,0.62173,0.34359,0.392996,0.406758,0.676647,2
0.205619,0.754527,0.607692,0.33463,0.541927,0.652695,2
0.265645,0.641851,0.792308,0.708171,0.423029,0.592814,2
0.332056,0.49497,0.748718,0.571984,0.400501,0.628743,2
0.381865,0.380282,0.520513,0.29572,0.386733,0.634731,1
0.40613,0.368209,0.292308,0.412451,0.330413,0.664671,2
0.464879,0.414487,0.176923,0.474708,0.342929,0.682635,2
0.524904,0.478873,0.207692,0.439689,0.305382,0.688623,2
0.58493,0.490946,0.258974,0.268482,0.418023,0.676647,1
0.61175,0.531187,0.258974,0.252918,0.385482,0.652695,1
0.628352,0.571429,0.282051,0.175097,0.514393,0.640719,1
0.633461,0.573441,0.279487,0.194553,0.387985,0.60479,1
0.634738,0.571429,0.307692,0.22179,0.509387,0.586826,1
0.627075,0.593561,0.328205,0.11284,0.387985,0.556886,1
0.624521,0.607646,0.323077,0.225681,0.340426,0.592814,0
0.627075,0.609658,0.323077,0.210117,0.319149,0.634731,0
0.646232,0.609658,0.361538,0.307393,0.249061,0.580838,0
0.657727,0.585513,0.425641,0.2607,0.249061,0.556886,0
0.661558,0.547284,0.446154,0.171206,0.266583,0.526946,0
0.657727,0.549296,0.425641,0.163424,0.252816,0.532934,0
0.655172,0.458753,0.364103,0.14786,0.335419,0.538922,0
0.637292,0.410463,0.297436,0.229572,0.235294,0.556886,0
0.616858,0.354125,0.248718,0.315175,0.091364,0.54491,0
