@relation 'train-weka.filters.unsupervised.attribute.Remove-R11,16-17-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.MathExpression-EA*100-V-R11-weka.filters.unsupervised.attribute.MathExpression-EA-273.15-V-R1-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R1-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R2-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R3-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R4-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R5-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R6-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R7-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R8-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R9-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R10-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R11-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R12-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R13-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R7'

@attribute air numeric
@attribute pres numeric
@attribute vwnd numeric
@attribute WDIR numeric
@attribute GST numeric
@attribute APD numeric
@attribute Class_WVHT {0,1,2,3}

@data
0.868263,0.735632,0.602564,0.523677,0.338521,0.20025,0
0.82036,0.707535,0.54359,0.473538,0.268482,0.187735,0
0.844311,0.698595,0.494872,0.506964,0.18677,0.252816,0
0.838323,0.688378,0.505128,0.504178,0.175097,0.225282,0
0.808383,0.684547,0.61282,0.493036,0.190661,0.226533,0
0.826346,0.648787,0.702564,0.470752,0.33463,0.115144,0
0.838323,0.62069,0.748718,0.454039,0.400778,0.140175,1
0.832336,0.581098,0.75641,0.476323,0.459144,0.212766,2
0.88024,0.554278,0.815385,0.420613,0.540856,0.306633,2
0.856286,0.52235,0.764103,0.448468,0.490272,0.423029,2
0.868263,0.491699,0.666667,0.389972,0.404669,0.433041,2
0.88024,0.503193,0.610257,0.509749,0.241245,0.387985,1
0.88024,0.527458,0.633333,0.470752,0.29572,0.435544,1
0.88024,0.521073,0.623077,0.420613,0.291829,0.382979,1
0.886226,0.500639,0.610257,0.317549,0.29572,0.36796,1
0.928143,0.501916,0.725641,0.409471,0.377432,0.339174,1
0.898203,0.564496,0.794872,0.548747,0.447471,0.291615,2
0.886226,0.604087,0.728205,0.442897,0.346304,0.356696,1
0.88024,0.624521,0.7,0.442897,0.326848,0.340426,1
0.88024,0.636015,0.638462,0.428969,0.276265,0.377972,1
0.856286,0.634738,0.61282,0.495822,0.2607,0.397997,1
0.8503,0.643678,0.589744,0.518106,0.245136,0.436796,1
0.874251,0.65645,0.633333,0.520891,0.22179,0.370463,1
0.892217,0.650064,0.725641,0.437326,0.268482,0.352941,1
0.91018,0.634738,0.720513,0.431755,0.459144,0.251564,1
0.868263,0.615581,0.74359,0.512535,0.381323,0.300375,1
0.886226,0.601533,0.712821,0.493036,0.357977,0.289111,1
0.922157,0.61175,0.702564,0.520891,0.40856,0.277847,1
0.904192,0.618135,0.694872,0.473538,0.311284,0.324155,1
0.91018,0.595147,0.728205,0.423398,0.400778,0.282854,2
0.862277,0.592593,0.715385,0.532033,0.498054,0.346683,1
0.904192,0.609195,0.538462,0.582173,0.175097,0.439299,1
0.898203,0.591315,0.553846,0.635097,0.038911,0.48811,1
0.862277,0.610473,0.569231,0.571031,0.268482,0.438048,1
0.856286,0.637292,0.582051,0.548747,0.284047,0.361702,1
0.856286,0.67433,0.638462,0.557103,0.342412,0.394243,1
0.898203,0.707535,0.641026,0.576602,0.268482,0.346683,1
0.862277,0.711367,0.648718,0.537604,0.264591,0.377972,1
0.856286,0.694764,0.776923,0.476323,0.420233,0.296621,2
0.892217,0.664112,0.825641,0.456825,0.607004,0.285357,2
0.79042,0.648787,0.776923,0.548747,0.431907,0.43179,2
0.928143,0.623244,0.758974,0.506964,0.392996,0.446809,2
0.928143,0.587484,0.812821,0.532033,0.533074,0.356696,2
0.904192,0.62963,0.664103,0.662953,0.548638,0.434293,2
0.844311,0.678161,0.564103,0.643454,0.400778,0.390488,2
0.874251,0.717752,0.525641,0.688022,0.330739,0.470588,1
0.8503,0.738186,0.535897,0.70195,0.311284,0.423029,1
0.862277,0.754789,0.48718,0.707521,0.291829,0.364205,1
0.886226,0.768838,0.476923,0.727019,0.287938,0.372966,1
0.892217,0.770115,0.469231,0.749304,0.175097,0.347935,1
0.838323,0.758621,0.5,0.718663,0.233463,0.341677,0
0.856286,0.753512,0.494872,0.62117,0.18677,0.290363,0
0.844311,0.733078,0.494872,0.668524,0.085603,0.272841,0
0.886226,0.707535,0.484615,0.334262,0.077821,0.46433,0
0.838323,0.699872,0.425641,0.270195,0.194553,0.439299,0
0.874251,0.713921,0.346154,0.111421,0.190661,0.232791,0
0.868263,0.736909,0.297436,0.036212,0.182879,0.292866,0
0.844311,0.767561,0.274359,0.947075,0.155642,0.320401,0
0.844311,0.804598,0.320513,0.924791,0.132296,0.345432,0
0.88024,0.831418,0.341026,0.885794,0.120623,0.270338,0
0.874251,0.849298,0.402564,0.818942,0.128405,0.35169,0
0.874251,0.844189,0.484615,0.715877,0.128405,0.389237,0
0.856286,0.842912,0.494872,0.679666,0.159533,0.36796,0
0.8503,0.818646,0.576923,0.401114,0.089494,0.450563,0
0.862277,0.793103,0.548718,0.395543,0.116732,0.135169,0
0.8503,0.784163,0.392308,0.220056,0.210117,0.102628,0
0.856286,0.809706,0.341026,0.044568,0.202335,0.274093,0
0.856286,0.825032,0.379487,0.924791,0.050584,0.289111,0
0.916166,0.816092,0.576923,0.470752,0.108949,0.359199,0
0.916166,0.758621,0.738462,0.395543,0.36965,0.12015,1
0.88024,0.690932,0.741026,0.51532,0.233463,0.217772,1
0.982037,0.653895,0.641026,0.610028,0.342412,0.188986,0
0.922157,0.652618,0.579487,0.685237,0.252918,0.244055,1
0.886226,0.685824,0.479487,0.754875,0.311284,0.301627,1
0.856286,0.698595,0.433333,0.75766,0.272374,0.259074,1
0.88024,0.711367,0.525641,0.632312,0.299611,0.332916,1
0.874251,0.696041,0.605128,0.62117,0.299611,0.249061,1
0.838323,0.685824,0.648718,0.635097,0.424125,0.310388,1
0.892217,0.690932,0.587179,0.654596,0.420233,0.292866,1
0.886226,0.708812,0.505128,0.738162,0.342412,0.381727,1
0.904192,0.726692,0.497436,0.743733,0.280156,0.352941,1
0.874251,0.736909,0.484615,0.713092,0.241245,0.405507,1
0.832336,0.744572,0.497436,0.643454,0.249027,0.435544,1
0.862277,0.756066,0.512821,0.721448,0.256809,0.392991,0
0.922157,0.743295,0.628205,0.637883,0.284047,0.341677,0
0.838323,0.693487,0.730769,0.51532,0.33463,0.275344,1
0.838323,0.627075,0.761538,0.45961,0.513619,0.229036,1
0.844311,0.559387,0.707692,0.473538,0.365759,0.307885,1
0.856286,0.517241,0.587179,0.454039,0.307393,0.356696,2
0.874251,0.498084,0.438461,0.640669,0.015564,0.473091,1
0.82036,0.498084,0.402564,0.818942,0.202335,0.503129,1
0.832336,0.514687,0.315385,0.805014,0.311284,0.429287,1
0.874251,0.544061,0.341026,0.824513,0.322957,0.396746,1
0.862277,0.57599,0.382051,0.802228,0.439689,0.314143,1
0.844311,0.592593,0.433333,0.760446,0.385214,0.317897,1
0.868263,0.598978,0.541026,0.707521,0.361868,0.285357,1
0.862277,0.581098,0.605128,0.629526,0.365759,0.274093,1
0.8503,0.541507,0.635898,0.498607,0.272374,0.282854,0
0.856286,0.515964,0.464102,0.724234,0.178988,0.245307,0
0.88024,0.553001,0.361538,0.626741,0.077821,0.345432,0
0.928143,0.596424,0.394872,0.869081,0.252918,0.262829,0
0.862277,0.637292,0.34359,0.810585,0.350195,0.232791,1
0.8503,0.666667,0.420513,0.799443,0.361868,0.321652,1
0.868263,0.680715,0.407692,0.785515,0.416342,0.230288,1
0.892217,0.719029,0.333333,0.807799,0.428016,0.306633,1
0.856286,0.761175,0.333333,0.835655,0.431907,0.266583,1
0.82036,0.793103,0.397436,0.75766,0.377432,0.312891,1
0.856286,0.791826,0.446154,0.735376,0.463035,0.265332,1
0.892217,0.808429,0.482051,0.735376,0.463035,0.31164,1
0.844311,0.803321,0.469231,0.760446,0.392996,0.297872,1
0.844311,0.808429,0.512821,0.718663,0.385214,0.290363,1
0.898203,0.787995,0.574359,0.660167,0.299611,0.30413,1
0.892217,0.782886,0.569231,0.493036,0.233463,0.255319,0
0.91018,0.761175,0.579487,0.640669,0.229572,0.267835,1
0.892217,0.772669,0.605128,0.62117,0.389105,0.190238,1
0.946106,0.780332,0.653846,0.649025,0.377432,0.211514,1
0.94012,0.777778,0.733333,0.590529,0.478599,0.209011,1
0.91018,0.773946,0.751282,0.576602,0.498054,0.212766,2
0.91018,0.770115,0.805128,0.557103,0.478599,0.317897,2
0.934132,0.753512,0.78718,0.551532,0.575875,0.317897,2
0.952097,0.738186,0.789744,0.54039,0.501946,0.339174,2
0.946106,0.702427,0.758974,0.532033,0.513619,0.296621,2
0.88024,0.698595,0.61282,0.649025,0.330739,0.370463,1
0.88024,0.698595,0.45641,0.754875,0.198444,0.401752,0
0.898203,0.702427,0.374359,0.779944,0.217899,0.329161,0
0.856286,0.703704,0.335897,0.774373,0.241245,0.31164,0
0.862277,0.712644,0.338462,0.752089,0.22179,0.209011,1
0.8503,0.722861,0.4,0.746518,0.307393,0.217772,1
0.868263,0.738186,0.410257,0.774373,0.373541,0.220275,1
0.856286,0.744572,0.402564,0.818942,0.225681,0.237797,0
0.844311,0.757344,0.407692,0.796657,0.217899,0.20776,0
0.8503,0.759898,0.441026,0.746518,0.136187,0.30413,0
0.892217,0.772669,0.520513,0.707521,0.155642,0.206508,0
0.868263,0.768838,0.517949,0.557103,0.163424,0.566959,1
0.874251,0.770115,0.574359,0.417827,0.178988,0.684606,1
0.886226,0.759898,0.610257,0.467967,0.237354,0.578223,1
0.946106,0.747126,0.620513,0.442897,0.280156,0.377972,1
0.928143,0.729246,0.610257,0.376045,0.377432,0.274093,1
0.886226,0.739464,0.576923,0.48468,0.202335,0.361702,1
0.862277,0.754789,0.5,0.629526,0.182879,0.428035,1
0.934132,0.780332,0.407692,0.793872,0.322957,0.332916,1
0.856286,0.804598,0.410257,0.779944,0.206226,0.366708,1
0.844311,0.813538,0.464102,0.735376,0.105058,0.409262,0
0.88024,0.816092,0.605128,0.35376,0.241245,0.386733,0
0.91018,0.798212,0.705128,0.395543,0.373541,0.246558,0
0.916166,0.794381,0.769231,0.465181,0.307393,0.225282,1
0.916166,0.794381,0.766667,0.481894,0.416342,0.185232,1
0.946106,0.787995,0.797436,0.498607,0.474708,0.32791,1
1,0.767561,0.828205,0.45961,0.435798,0.28786,2
0.91018,0.745849,0.810256,0.462396,0.428016,0.357947,2
0.916166,0.725415,0.815385,0.456825,0.478599,0.359199,2
0.904192,0.703704,0.751282,0.454039,0.447471,0.461827,2
0.94012,0.678161,0.78718,0.451253,0.420233,0.400501,2
0.862277,0.65645,0.753846,0.451253,0.509728,0.321652,2
0.916166,0.650064,0.684615,0.442897,0.470817,0.370463,1
0.88024,0.650064,0.658974,0.470752,0.303502,0.360451,1
0.928143,0.62069,0.674359,0.423398,0.396887,0.346683,1
0.844311,0.62069,0.676923,0.685237,0.354086,0.342929,2
0.862277,0.630907,0.625641,0.551532,0.307393,0.525657,2
0.8503,0.644955,0.571795,0.571031,0.280156,0.565707,1
0.8503,0.659004,0.515385,0.649025,0.214008,0.499374,2
0.856286,0.669221,0.517949,0.618384,0.210117,0.669587,1
0.826346,0.683269,0.448718,0.721448,0.214008,0.539424,1
0.808383,0.679438,0.464102,0.635097,0.163424,0.593242,1
0.868263,0.679438,0.489743,0.696379,0.058366,0.433041,1
0.808383,0.63857,0.633333,0.51532,0.198444,0.503129,1
0.844311,0.577267,0.751282,0.451253,0.354086,0.259074,1
0.826346,0.500639,0.807692,0.456825,0.533074,0.261577,2
0.832336,0.425287,0.751282,0.426184,0.603113,0.385482,2
0.898203,0.33461,0.730769,0.479109,0.330739,0.443054,1
0.898203,0.254151,0.8,0.392758,0.439689,0.331665,2
0.844311,0.222222,0.679487,0.45961,0.36965,0.360451,1
0.8503,0.272031,0.615385,0.64624,0.206226,0.382979,3
0.832336,0.37037,0.638462,0.729805,0.696498,0.436796,3
0.826346,0.469987,0.628205,0.688022,0.649805,0.560701,3
0.8503,0.538953,0.705128,0.62117,0.501946,0.509387,2
0.898203,0.581098,0.635898,0.610028,0.315175,0.50438,2
0.832336,0.551724,0.425641,0.428969,0.217899,0.56821,1
0.772456,0.54023,0.374359,0.334262,0.031128,0.451815,1
0.796406,0.577267,0.423077,0.671309,0.163424,0.494368,1
0.814371,0.60281,0.448718,0.607242,0.11284,0.423029,1
0.826346,0.563218,0.361538,0.147632,0.101167,0.510638,1
0.796406,0.491699,0.215385,0.077994,0.326848,0.418023,1
0.76048,0.412516,0.120513,0.994429,0.470817,0.227785,1
0.712576,0.454662,0.341026,0.866295,0.501946,0.272841,2
0.772456,0.510856,0.502564,0.704735,0.389105,0.334168,1
0.784431,0.544061,0.55641,0.584958,0.252918,0.385482,1
0.82036,0.560664,0.523077,0.545961,0.163424,0.409262,1
0.88024,0.59387,0.494872,0.392758,0.050584,0.369212,1
0.856286,0.61175,0.433333,0.331476,0.128405,0.39174,0
0.82036,0.616858,0.389744,0.147632,0.178988,0.369212,0
0.8503,0.613027,0.276923,0.133705,0.291829,0.254068,0
0.868263,0.595147,0.197436,0.075209,0.365759,0.150188,1
0.814371,0.572158,0.087179,0.052925,0.439689,0.150188,1
0.79042,0.55811,0.084616,1,0.478599,0.225282,1
0.826346,0.55811,0.097436,0.963788,0.455253,0.261577,1
0.844311,0.573436,0.164103,0.933148,0.40856,0.251564,1
0.8503,0.582375,0.25641,0.969359,0.315175,0.26408,1
0.8503,0.590038,0.182051,1,0.2607,0.297872,1
0.88024,0.609195,0.215385,0.064067,0.29572,0.386733,1
0.88024,0.627075,0.228205,0.036212,0.276265,0.36796,1
0.8503,0.62963,0.333333,0.050139,0.284047,0.483104,1
0.898203,0.609195,0.382051,0.091922,0.18677,0.461827,1
0.838323,0.581098,0.479487,0.272981,0.11284,0.481852,1
0.886226,0.545338,0.630769,0.504178,0.163424,0.576971,1
0.856286,0.521073,0.625641,0.37883,0.233463,0.410513,1
0.844311,0.510856,0.638462,0.387187,0.40856,0.256571,1
0.814371,0.503193,0.712821,0.548747,0.284047,0.290363,1
0.814371,0.457216,0.712821,0.431755,0.420233,0.299124,2
0.832336,0.435504,0.648718,0.412256,0.420233,0.423029,2
0.814371,0.421456,0.630769,0.392758,0.342412,0.418023,2
0.832336,0.436782,0.517949,0.395543,0.206226,0.413016,1
0.868263,0.466156,0.353846,0.08078,0.330739,0.421777,1
0.82036,0.528736,0.223077,0.949861,0.447471,0.275344,1
0.808383,0.583653,0.271795,0.824513,0.412451,0.26408,1
0.808383,0.62069,0.364103,0.788301,0.400778,0.294118,1
0.826346,0.65645,0.374359,0.779944,0.400778,0.332916,2
0.766466,0.684547,0.379487,0.824513,0.595331,0.357947,2
0.718563,0.717752,0.315385,0.768802,0.529183,0.428035,2
0.772456,0.750958,0.312821,0.807799,0.505837,0.38423,2
0.76048,0.777778,0.246154,0.835655,0.490272,0.394243,2
0.724551,0.794381,0.3,0.89415,0.326848,0.441802,2
0.682636,0.799489,0.333333,0.977716,0.171206,0.403004,0
0.694611,0.800766,0.489743,0.208914,0.202335,0.375469,0
0.748503,0.780332,0.566667,0.325905,0.350195,0.202753,1
0.736526,0.722861,0.492308,0.289694,0.505837,0.214018,2
0.76048,0.590038,0.551282,0.286908,0.66537,0.34418,3
0.826346,0.422733,0.664103,0.253482,0.883268,0.590738,3
0.922157,0.389527,0.930769,0.442897,0.40856,0.620776,3
0.868263,0.351213,0.966667,0.487465,0.470817,0.663329,3
0.844311,0.277139,0.979487,0.389972,0.673152,0.474343,3
0.814371,0.300128,0.764103,0.587744,0.735409,0.647059,3
0.79042,0.425287,0.469231,0.679666,0.490272,0.650814,3
0.766466,0.561941,0.441026,0.724234,0.575875,0.454318,2
0.718563,0.62963,0.64359,0.612813,0.505837,0.531915,2
0.76048,0.636015,0.725641,0.562674,0.40856,0.382979,2
0.766466,0.606641,0.764103,0.493036,0.451362,0.354193,2
0.814371,0.533844,0.776923,0.454039,0.463035,0.381727,2
0.778443,0.453384,0.661539,0.543175,0.715953,0.369212,2
0.652696,0.53129,0.415385,0.763231,0.540856,0.390488,2
0.682636,0.615581,0.505128,0.724234,0.599222,0.390488,2
0.628743,0.678161,0.512821,0.718663,0.599222,0.423029,3
0.604791,0.716475,0.474359,0.729805,0.529183,0.546934,2
0.568863,0.740741,0.479487,0.760446,0.36965,0.435544,2
0.574851,0.744572,0.428205,0.779944,0.280156,0.479349,2
0.550899,0.744572,0.402564,0.724234,0.361868,0.379224,1
0.556886,0.736909,0.315385,0.963788,0.330739,0.460576,1
0.538923,0.726692,0.297436,0.883008,0.132296,0.394243,0
0.580839,0.713921,0.297436,0.880223,0.229572,0.30413,0
0.532936,0.702427,0.358974,0.153203,0.062257,0.339174,0
0.538923,0.681992,0.369231,0.192201,0.108949,0.326658,0
0.574851,0.65645,0.397436,0.35376,0.178988,0.461827,0
0.67066,0.59387,0.448718,0.295265,0.326848,0.123905,1
0.808383,0.524904,0.517949,0.309192,0.459144,0.198999,1
0.796406,0.435504,0.692308,0.286908,0.466926,0.232791,1
0.814371,0.348659,0.812821,0.448468,0.51751,0.257822,1
0.868263,0.326948,0.710256,0.498607,0.280156,0.276596,1
0.844311,0.315453,0.689744,0.529248,0.404669,0.325407,1
0.76048,0.312899,0.815385,0.518106,0.486381,0.418023,3
0.802396,0.309068,0.887179,0.48468,0.486381,0.698373,3
0.82036,0.278416,0.917949,0.479109,0.649805,0.765957,3
0.796406,0.297573,0.733333,0.571031,0.579767,0.881101,3
0.724551,0.394636,0.638462,0.690808,0.677043,0.609512,3
0.724551,0.494253,0.625641,0.64624,0.525292,0.685857,3
0.736526,0.553001,0.666667,0.696379,0.307393,0.56821,2
0.7006,0.545338,0.666667,0.529248,0.284047,0.590738,2
0.736526,0.422733,0.669231,0.314763,0.455253,0.514393,2
0.724551,0.381865,0.679487,0.337047,0.509728,0.439299,3
0.598803,0.43295,0.68718,0.679666,0.719844,0.489362,3
0.568863,0.482759,0.635898,0.5961,0.346304,0.516896,2
0.562876,0.464879,0.551282,0.498607,0.202335,0.503129,1
0.586826,0.416347,0.379487,0.052925,0.214008,0.42428,2
0.616766,0.346105,0.117949,0.094708,0.560311,0.361702,2
0.706586,0.324393,0,0.988858,0.692607,0.387985,3
0.76048,0.335888,0.017949,0.961003,0.692607,0.470588,3
0.772456,0.360153,0.064103,0.094708,0.459144,0.57572,3
0.748503,0.38825,0.153846,0.116992,0.354086,0.520651,2
0.712576,0.385696,0.135898,0.119777,0.439689,0.451815,2
0.682636,0.381865,0.115385,0.083565,0.44358,0.411765,2
0.694611,0.385696,0.138462,0.050139,0.463035,0.426783,2
0.706586,0.40613,0.174359,0.980501,0.505837,0.336671,2
0.682636,0.431673,0.220513,0.938719,0.51751,0.345432,2
0.688623,0.457216,0.333333,0.885794,0.490272,0.322904,1
0.664671,0.47765,0.374359,0.869081,0.459144,0.225282,1
0.646706,0.490421,0.492308,0.774373,0.412451,0.206508,0
0.616766,0.481481,0.535897,0.735376,0.233463,0.216521,0
0.562876,0.453384,0.566667,0.674095,0.093385,0.326658,0
0.526946,0.425287,0.538462,0.401114,0.097276,0.49562,0
0.544911,0.395913,0.535897,0.272981,0.159533,0.594493,1
0.610779,0.367816,0.510256,0.342618,0.225681,0.79975,1
0.658683,0.324393,0.430769,0.228412,0.326848,0.617021,1
0.7006,0.266922,0.335897,0.200557,0.494163,0.356696,2
0.7006,0.238825,0.35641,0.075209,0.715953,0.336671,2
0.718561,0.232439,0.451282,0.239554,0.326848,0.416771,2
0.688623,0.242656,0.489744,0.314763,0.299611,0.48811,2
0.694611,0.249042,0.433333,0.247911,0.105058,0.541927,2
0.724551,0.283525,0.361538,0.835655,0.237354,0.579474,2
0.616766,0.329502,0.45641,0.830084,0.455253,0.360451,2
0.479041,0.363985,0.5,0.699164,0.439689,0.399249,2
0.532934,0.378033,0.546154,0.593315,0.287938,0.435544,2
0.598801,0.344828,0.538462,0.362117,0.299611,0.546934,1
0.598801,0.287356,0.410256,0.236769,0.357977,0.414268,1
0.604791,0.233716,0.25641,0.18663,0.412451,0.321652,2
0.640718,0.183908,0.238462,0.197772,0.416342,0.374218,2
0.652694,0.168582,0.289744,0.116992,0.326848,0.465582,2
0.616766,0.16986,0.34359,0.066852,0.392996,0.406758,2
0.604791,0.205619,0.607692,0.635097,0.33463,0.541927,2
0.604789,0.265645,0.792308,0.56546,0.708171,0.423029,2
0.586826,0.332056,0.748718,0.481894,0.571984,0.400501,2
0.544911,0.381865,0.520513,0.337047,0.29572,0.386733,1
0.616766,0.40613,0.292308,0.086351,0.412451,0.330413,2
0.682633,0.464879,0.176923,0.066852,0.474708,0.342929,2
0.670658,0.524904,0.207692,0.050139,0.439689,0.305382,2
0.640718,0.58493,0.258974,0.008357,0.268482,0.418023,1
0.592814,0.61175,0.258974,0.997214,0.252918,0.385482,1
0.592812,0.628352,0.282051,0.869081,0.175097,0.514393,1
0.580839,0.633461,0.279487,0.94429,0.194553,0.387985,1
0.568861,0.634738,0.307692,0.885794,0.22179,0.509387,1
0.574851,0.627075,0.328205,0.846797,0.11284,0.387985,1
0.562874,0.624521,0.323077,0.949861,0.225681,0.340426,0
0.550898,0.627075,0.323077,0.841226,0.210117,0.319149,0
0.520958,0.646232,0.361538,0.810585,0.307393,0.249061,0
0.479043,0.657727,0.425641,0.768802,0.2607,0.249061,0
0.485029,0.661558,0.446154,0.696379,0.171206,0.266583,0
0.502994,0.657727,0.425641,0.604457,0.163424,0.252816,0
0.502994,0.655172,0.364103,0.061281,0.14786,0.335419,0
0.497006,0.637292,0.297436,0.061281,0.229572,0.235294,0
0.532934,0.616858,0.248718,0.13649,0.315175,0.091364,0
0.574851,0.573436,0.220513,0.130919,0.396887,0.204005,0
