@relation 'train-weka.filters.unsupervised.attribute.Remove-R11,16-17-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.MathExpression-EA*100-V-R11-weka.filters.unsupervised.attribute.MathExpression-EA-273.15-V-R1-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R1-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R2-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R3-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R4-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R5-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R6-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R7-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R8-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R9-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R10-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R11-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R12-weka.filters.unsupervised.attribute.MathExpression-E(A-MIN)/(MAX-MIN)-V-R13-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R2-3,9'

@attribute air numeric
@attribute vwnd numeric
@attribute WDIR numeric
@attribute GST numeric
@attribute APD numeric
@attribute PRES numeric
@attribute Class_WVHT {0,1,2,3}

@data
0.862277,0.569231,0.571031,0.268482,0.438048,0.610063,1
0.856286,0.582051,0.548747,0.284047,0.361702,0.632704,1
0.856286,0.638462,0.557103,0.342412,0.394243,0.662893,1
0.898203,0.641026,0.576602,0.268482,0.346683,0.691824,1
0.862277,0.648718,0.537604,0.264591,0.377972,0.715723,1
0.856286,0.776923,0.476323,0.420233,0.296621,0.699371,2
0.892217,0.825641,0.456825,0.607004,0.285357,0.661635,2
0.79042,0.776923,0.548747,0.431907,0.43179,0.649057,2
0.928143,0.758974,0.506964,0.392996,0.446809,0.626415,2
0.928143,0.812821,0.532033,0.533074,0.356696,0.58239,2
0.904192,0.664103,0.662953,0.548638,0.434293,0.598742,2
0.844311,0.564103,0.643454,0.400778,0.390488,0.657862,2
0.874251,0.525641,0.688022,0.330739,0.470588,0.696855,1
0.8503,0.535897,0.70195,0.311284,0.423029,0.72327,1
0.862277,0.48718,0.707521,0.291829,0.364205,0.739623,1
0.886226,0.476923,0.727019,0.287938,0.372966,0.761006,1
0.892217,0.469231,0.749304,0.175097,0.347935,0.754717,1
0.838323,0.5,0.718663,0.233463,0.341677,0.752201,0
0.856286,0.494872,0.62117,0.18677,0.290363,0.743396,0
0.844311,0.494872,0.668524,0.085603,0.272841,0.744654,0
0.886226,0.484615,0.334262,0.077821,0.46433,0.720755,0
0.838323,0.425641,0.270195,0.194553,0.439299,0.716981,0
0.874251,0.346154,0.111421,0.190661,0.232791,0.725786,0
0.868263,0.297436,0.036212,0.182879,0.292866,0.749686,0
0.844311,0.274359,0.947075,0.155642,0.320401,0.768553,0
0.844311,0.320513,0.924791,0.132296,0.345432,0.798742,0
0.88024,0.341026,0.885794,0.120623,0.270338,0.822642,0
0.874251,0.402564,0.818942,0.128405,0.35169,0.844025,0
0.874251,0.484615,0.715877,0.128405,0.389237,0.841509,0
0.856286,0.494872,0.679666,0.159533,0.36796,0.840252,0
0.8503,0.576923,0.401114,0.089494,0.450563,0.822642,0
0.862277,0.548718,0.395543,0.116732,0.135169,0.815094,0
0.8503,0.392308,0.220056,0.210117,0.102628,0.802516,0
0.856286,0.341026,0.044568,0.202335,0.274093,0.816352,0
0.856286,0.379487,0.924791,0.050584,0.289111,0.827673,0
0.916166,0.576923,0.470752,0.108949,0.359199,0.822642,0
0.916166,0.738462,0.395543,0.36965,0.12015,0.772327,1
0.88024,0.741026,0.51532,0.233463,0.217772,0.693082,1
0.982037,0.641026,0.610028,0.342412,0.188986,0.644025,0
0.922157,0.579487,0.685237,0.252918,0.244055,0.638994,1
0.886226,0.479487,0.754875,0.311284,0.301627,0.665409,1
0.856286,0.433333,0.75766,0.272374,0.259074,0.689308,1
0.88024,0.525641,0.632312,0.299611,0.332916,0.696855,1
0.874251,0.605128,0.62117,0.299611,0.249061,0.68805,1
0.838323,0.648718,0.635097,0.424125,0.310388,0.674214,1
0.892217,0.587179,0.654596,0.420233,0.292866,0.666667,1
0.886226,0.505128,0.738162,0.342412,0.381727,0.691824,1
0.904192,0.497436,0.743733,0.280156,0.352941,0.718239,1
0.874251,0.484615,0.713092,0.241245,0.405507,0.734591,1
0.832336,0.497436,0.643454,0.249027,0.435544,0.737107,1
0.862277,0.512821,0.721448,0.256809,0.392991,0.745912,0
0.922157,0.628205,0.637883,0.284047,0.341677,0.735849,0
0.838323,0.730769,0.51532,0.33463,0.275344,0.698113,1
0.838323,0.761538,0.45961,0.513619,0.229036,0.630189,1
0.844311,0.707692,0.473538,0.365759,0.307885,0.569811,1
0.856286,0.587179,0.454039,0.307393,0.356696,0.532075,2
0.874251,0.438461,0.640669,0.015564,0.473091,0.518239,1
0.82036,0.402564,0.818942,0.202335,0.503129,0.506918,1
0.832336,0.315385,0.805014,0.311284,0.429287,0.518239,1
0.874251,0.341026,0.824513,0.322957,0.396746,0.52956,1
0.862277,0.382051,0.802228,0.439689,0.314143,0.56478,1
0.844311,0.433333,0.760446,0.385214,0.317897,0.579874,1
0.868263,0.541026,0.707521,0.361868,0.285357,0.589937,1
0.862277,0.605128,0.629526,0.365759,0.274093,0.58239,1
0.8503,0.635898,0.498607,0.272374,0.282854,0.552201,0
0.856286,0.464102,0.724234,0.178988,0.245307,0.52956,0
0.88024,0.361538,0.626741,0.077821,0.345432,0.548428,0
0.928143,0.394872,0.869081,0.252918,0.262829,0.569811,0
0.862277,0.34359,0.810585,0.350195,0.232791,0.621384,1
0.8503,0.420513,0.799443,0.361868,0.321652,0.645283,1
0.868263,0.407692,0.785515,0.416342,0.230288,0.669182,1
0.892217,0.333333,0.807799,0.428016,0.306633,0.700629,1
0.856286,0.333333,0.835655,0.431907,0.266583,0.742138,1
0.82036,0.397436,0.75766,0.377432,0.312891,0.772327,1
0.856286,0.446154,0.735376,0.463035,0.265332,0.773585,1
0.892217,0.482051,0.735376,0.463035,0.31164,0.78239,1
0.844311,0.469231,0.760446,0.392996,0.297872,0.783648,1
0.844311,0.512821,0.718663,0.385214,0.290363,0.787421,1
0.898203,0.574359,0.660167,0.299611,0.30413,0.783648,1
0.892217,0.569231,0.493036,0.233463,0.255319,0.771069,0
0.91018,0.579487,0.640669,0.229572,0.267835,0.753459,1
0.892217,0.605128,0.62117,0.389105,0.190238,0.750943,1
0.946106,0.653846,0.649025,0.377432,0.211514,0.754717,1
0.94012,0.733333,0.590529,0.478599,0.209011,0.755975,1
0.91018,0.751282,0.576602,0.498054,0.212766,0.755975,2
0.91018,0.805128,0.557103,0.478599,0.317897,0.752201,2
0.934132,0.78718,0.551532,0.575875,0.317897,0.734591,2
0.952097,0.789744,0.54039,0.501946,0.339174,0.72956,2
0.946106,0.758974,0.532033,0.513619,0.296621,0.684277,2
0.88024,0.61282,0.649025,0.330739,0.370463,0.685535,1
0.88024,0.45641,0.754875,0.198444,0.401752,0.695597,0
0.898203,0.374359,0.779944,0.217899,0.329161,0.704403,0
0.856286,0.335897,0.774373,0.241245,0.31164,0.701887,0
0.862277,0.338462,0.752089,0.22179,0.209011,0.704403,1
0.8503,0.4,0.746518,0.307393,0.217772,0.708176,1
0.868263,0.410257,0.774373,0.373541,0.220275,0.724528,1
0.856286,0.402564,0.818942,0.225681,0.237797,0.735849,0
0.844311,0.407692,0.796657,0.217899,0.20776,0.752201,0
0.8503,0.441026,0.746518,0.136187,0.30413,0.758491,0
0.892217,0.520513,0.707521,0.155642,0.206508,0.768553,0
0.868263,0.517949,0.557103,0.163424,0.566959,0.771069,1
0.874251,0.574359,0.417827,0.178988,0.684606,0.769811,1
0.886226,0.610257,0.467967,0.237354,0.578223,0.76478,1
0.946106,0.620513,0.442897,0.280156,0.377972,0.762264,1
0.928143,0.610257,0.376045,0.377432,0.274093,0.74717,1
0.886226,0.576923,0.48468,0.202335,0.361702,0.735849,1
0.862277,0.5,0.629526,0.182879,0.428035,0.74717,1
0.934132,0.407692,0.793872,0.322957,0.332916,0.767296,1
0.856286,0.410257,0.779944,0.206226,0.366708,0.794969,1
0.844311,0.464102,0.735376,0.105058,0.409262,0.813836,0
0.88024,0.605128,0.35376,0.241245,0.386733,0.822642,0
0.91018,0.705128,0.395543,0.373541,0.246558,0.810063,0
0.916166,0.769231,0.465181,0.307393,0.225282,0.8,1
0.916166,0.766667,0.481894,0.416342,0.185232,0.788679,1
0.946106,0.797436,0.498607,0.474708,0.32791,0.784906,1
1,0.828205,0.45961,0.435798,0.28786,0.768553,2
0.91018,0.810256,0.462396,0.428016,0.357947,0.749686,2
0.916166,0.815385,0.456825,0.478599,0.359199,0.730818,2
0.904192,0.751282,0.454039,0.447471,0.461827,0.708176,2
0.94012,0.78718,0.451253,0.420233,0.400501,0.689308,2
0.862277,0.753846,0.451253,0.509728,0.321652,0.659119,2
0.916166,0.684615,0.442897,0.470817,0.370463,0.645283,1
0.88024,0.658974,0.470752,0.303502,0.360451,0.646541,1
0.928143,0.674359,0.423398,0.396887,0.346683,0.620126,1
0.844311,0.676923,0.685237,0.354086,0.342929,0.61761,2
0.862277,0.625641,0.551532,0.307393,0.525657,0.631447,2
0.8503,0.571795,0.571031,0.280156,0.565707,0.640252,1
0.8503,0.515385,0.649025,0.214008,0.499374,0.683019,2
0.856286,0.517949,0.618384,0.210117,0.669587,0.671698,1
0.826346,0.448718,0.721448,0.214008,0.539424,0.680503,1
0.808383,0.464102,0.635097,0.163424,0.593242,0.681761,1
0.868263,0.489743,0.696379,0.058366,0.433041,0.681761,1
0.808383,0.633333,0.51532,0.198444,0.503129,0.645283,1
0.844311,0.751282,0.451253,0.354086,0.259074,0.589937,1
0.826346,0.807692,0.456825,0.533074,0.261577,0.518239,2
0.832336,0.751282,0.426184,0.603113,0.385482,0.449057,2
0.898203,0.730769,0.479109,0.330739,0.443054,0.372327,1
0.898203,0.8,0.392758,0.439689,0.331665,0.290566,2
0.844311,0.679487,0.45961,0.36965,0.360451,0.228931,1
0.8503,0.615385,0.64624,0.206226,0.382979,0.221384,3
0.832336,0.638462,0.729805,0.696498,0.436796,0.330818,3
0.826346,0.628205,0.688022,0.649805,0.560701,0.425157,3
0.8503,0.705128,0.62117,0.501946,0.509387,0.510692,2
0.898203,0.635898,0.610028,0.315175,0.50438,0.568553,2
0.832336,0.425641,0.428969,0.217899,0.56821,0.568553,1
0.772456,0.374359,0.334262,0.031128,0.451815,0.552201,1
0.796406,0.423077,0.671309,0.163424,0.494368,0.571069,1
0.814371,0.448718,0.607242,0.11284,0.423029,0.601258,1
0.826346,0.361538,0.147632,0.101167,0.510638,0.58239,1
0.796406,0.215385,0.077994,0.326848,0.418023,0.524528,1
0.76048,0.120513,0.994429,0.470817,0.227785,0.451572,1
0.712576,0.341026,0.866295,0.501946,0.272841,0.432704,2
0.772456,0.502564,0.704735,0.389105,0.334168,0.491824,1
0.784431,0.55641,0.584958,0.252918,0.385482,0.543396,1
0.82036,0.523077,0.545961,0.163424,0.409262,0.56478,1
0.88024,0.494872,0.392758,0.050584,0.369212,0.685535,1
0.856286,0.433333,0.331476,0.128405,0.39174,0.626415,0
0.82036,0.389744,0.147632,0.178988,0.369212,0.636478,0
0.8503,0.276923,0.133705,0.291829,0.254068,0.642767,0
0.868263,0.197436,0.075209,0.365759,0.150188,0.618868,1
0.814371,0.087179,0.052925,0.439689,0.150188,0.598742,1
0.79042,0.084616,1,0.478599,0.225282,0.573585,1
0.826346,0.097436,0.963788,0.455253,0.261577,0.574843,1
0.844311,0.164103,0.933148,0.40856,0.251564,0.578616,1
0.8503,0.25641,0.969359,0.315175,0.26408,0.589937,1
0.8503,0.182051,1,0.2607,0.297872,0.601258,1
0.88024,0.215385,0.064067,0.29572,0.386733,0.623899,1
0.88024,0.228205,0.036212,0.276265,0.36796,0.636478,1
0.8503,0.333333,0.050139,0.284047,0.483104,0.644025,1
0.898203,0.382051,0.091922,0.18677,0.461827,0.61761,1
0.838323,0.479487,0.272981,0.11284,0.481852,0.587421,1
0.886226,0.630769,0.504178,0.163424,0.576971,0.561006,1
0.856286,0.625641,0.37883,0.233463,0.410513,0.539623,1
0.844311,0.638462,0.387187,0.40856,0.256571,0.50566,1
0.814371,0.712821,0.548747,0.284047,0.290363,0.509434,1
0.814371,0.712821,0.431755,0.420233,0.299124,0.485535,2
0.832336,0.648718,0.412256,0.420233,0.423029,0.464151,2
0.814371,0.630769,0.392758,0.342412,0.418023,0.437736,2
0.832336,0.517949,0.395543,0.206226,0.413016,0.437736,1
0.868263,0.353846,0.08078,0.330739,0.421777,0.464151,1
0.82036,0.223077,0.949861,0.447471,0.275344,0.530818,1
0.808383,0.271795,0.824513,0.412451,0.26408,0.576101,1
0.808383,0.364103,0.788301,0.400778,0.294118,0.606289,1
0.826346,0.374359,0.779944,0.400778,0.332916,0.628931,2
0.766466,0.379487,0.824513,0.595331,0.357947,0.67044,2
0.718563,0.315385,0.768802,0.529183,0.428035,0.69434,2
0.772456,0.312821,0.807799,0.505837,0.38423,0.724528,2
0.76048,0.246154,0.835655,0.490272,0.394243,0.757233,2
0.724551,0.3,0.89415,0.326848,0.441802,0.787421,2
0.682636,0.333333,0.977716,0.171206,0.403004,0.807547,0
0.694611,0.489743,0.208914,0.202335,0.375469,0.803774,0
0.748503,0.566667,0.325905,0.350195,0.202753,0.794969,1
0.736526,0.492308,0.289694,0.505837,0.214018,0.759748,2
0.76048,0.551282,0.286908,0.66537,0.34418,0.669182,3
0.826346,0.664103,0.253482,0.883268,0.590738,0.500629,3
0.922157,0.930769,0.442897,0.40856,0.620776,0.408805,3
0.868263,0.966667,0.487465,0.470817,0.663329,0.369811,3
0.844311,0.979487,0.389972,0.673152,0.474343,0.284277,3
0.814371,0.764103,0.587744,0.735409,0.647059,0.250314,3
0.79042,0.469231,0.679666,0.490272,0.650814,0.383648,3
0.766466,0.441026,0.724234,0.575875,0.454318,0.52327,2
0.718563,0.64359,0.612813,0.505837,0.531915,0.605031,2
0.76048,0.725641,0.562674,0.40856,0.382979,0.633962,2
0.766466,0.764103,0.493036,0.451362,0.354193,0.607547,2
0.814371,0.776923,0.454039,0.463035,0.381727,0.552201,2
0.778443,0.661539,0.543175,0.715953,0.369212,0.436478,2
0.652696,0.415385,0.763231,0.540856,0.390488,0.491824,2
0.682636,0.505128,0.724234,0.599222,0.390488,0.581132,2
0.628743,0.512821,0.718663,0.599222,0.423029,0.644025,3
0.604791,0.474359,0.729805,0.529183,0.546934,0.69434,2
0.568863,0.479487,0.760446,0.36965,0.435544,0.727044,2
0.574851,0.428205,0.779944,0.280156,0.479349,0.734591,2
0.550899,0.402564,0.724234,0.361868,0.379224,0.734591,1
0.556886,0.315385,0.963788,0.330739,0.460576,0.734591,1
0.538923,0.297436,0.883008,0.132296,0.394243,0.72956,0
0.580839,0.297436,0.880223,0.229572,0.30413,0.722013,0
0.532936,0.358974,0.153203,0.062257,0.339174,0.708176,0
0.538923,0.369231,0.192201,0.108949,0.326658,0.695597,0
0.574851,0.397436,0.35376,0.178988,0.461827,0.674214,0
0.67066,0.448718,0.295265,0.326848,0.123905,0.631447,1
0.808383,0.517949,0.309192,0.459144,0.198999,0.568553,1
0.796406,0.692308,0.286908,0.466926,0.232791,0.460377,1
0.814371,0.812821,0.448468,0.51751,0.257822,0.369811,1
0.868263,0.710256,0.498607,0.280156,0.276596,0.32327,1
0.844311,0.689744,0.529248,0.404669,0.325407,0.304403,1
0.76048,0.815385,0.518106,0.486381,0.418023,0.310692,3
0.802396,0.887179,0.48468,0.486381,0.698373,0.32327,3
0.82036,0.917949,0.479109,0.649805,0.765957,0.284277,3
0.796406,0.733333,0.571031,0.579767,0.881101,0.27044,3
0.724551,0.638462,0.690808,0.677043,0.609512,0.362264,3
0.724551,0.625641,0.64624,0.525292,0.685857,0.460377,3
0.736526,0.666667,0.696379,0.307393,0.56821,0.527044,2
0.7006,0.666667,0.529248,0.284047,0.590738,0.558491,2
0.736526,0.669231,0.314763,0.455253,0.514393,0.479245,2
0.724551,0.679487,0.337047,0.509728,0.439299,0.383648,3
0.598803,0.68718,0.679666,0.719844,0.489362,0.415094,3
0.568863,0.635898,0.5961,0.346304,0.516896,0.471698,2
0.562876,0.551282,0.498607,0.202335,0.503129,0.475472,1
0.586826,0.379487,0.052925,0.214008,0.42428,0.440252,2
0.616766,0.117949,0.094708,0.560311,0.361702,0.374843,2
0.706586,0,0.988858,0.692607,0.387985,0.362264,3
0.76048,0.017949,0.961003,0.692607,0.470588,0.358491,3
0.772456,0.064103,0.094708,0.459144,0.57572,0.407547,3
0.748503,0.153846,0.116992,0.354086,0.520651,0.432704,2
0.712576,0.135898,0.119777,0.439689,0.451815,0.436478,2
0.682636,0.115385,0.083565,0.44358,0.411765,0.422642,2
0.694611,0.138462,0.050139,0.463035,0.426783,0.418868,2
0.706586,0.174359,0.980501,0.505837,0.336671,0.426415,2
0.682636,0.220513,0.938719,0.51751,0.345432,0.43522,2
0.688623,0.333333,0.885794,0.490272,0.322904,0.446541,1
0.664671,0.374359,0.869081,0.459144,0.225282,0.465409,1
0.646706,0.492308,0.774373,0.412451,0.206508,0.484277,0
0.616766,0.535897,0.735376,0.233463,0.216521,0.48805,0
0.562876,0.566667,0.674095,0.093385,0.326658,0.469182,0
0.526946,0.538462,0.401114,0.097276,0.49562,0.438994,0
0.544911,0.535897,0.272981,0.159533,0.594493,0.408805,1
0.610779,0.510256,0.342618,0.225681,0.79975,0.384906,1
0.658683,0.430769,0.228412,0.326848,0.617021,0.367296,1
0.7006,0.335897,0.200557,0.494163,0.356696,0.332075,2
0.7006,0.35641,0.075209,0.715953,0.336671,0.256604,2
0.718561,0.451282,0.239554,0.326848,0.416771,0.242767,2
0.688623,0.489744,0.314763,0.299611,0.48811,0.250314,2
0.694611,0.433333,0.247911,0.105058,0.541927,0.245283,2
0.724551,0.361538,0.835655,0.237354,0.579474,0.260377,2
0.616766,0.45641,0.830084,0.455253,0.360451,0.31195,2
0.479041,0.5,0.699164,0.439689,0.399249,0.355975,2
0.532934,0.546154,0.593315,0.287938,0.435544,0.371069,2
0.598801,0.538462,0.362117,0.299611,0.546934,0.369811,1
0.598801,0.410256,0.236769,0.357977,0.414268,0.343396,1
0.604791,0.25641,0.18663,0.412451,0.321652,0.295597,2
0.640718,0.238462,0.197772,0.416342,0.374218,0.226415,2
0.652694,0.289744,0.116992,0.326848,0.465582,0.21761,2
0.616766,0.34359,0.066852,0.392996,0.406758,0.184906,2
0.604791,0.607692,0.635097,0.33463,0.541927,0.178616,2
0.604789,0.792308,0.56546,0.708171,0.423029,0.247799,2
0.586826,0.748718,0.481894,0.571984,0.400501,0.350943,2
0.544911,0.520513,0.337047,0.29572,0.386733,0.418868,1
0.616766,0.292308,0.086351,0.412451,0.330413,0.445283,2
0.682633,0.176923,0.066852,0.474708,0.342929,0.493082,2
0.670658,0.207692,0.050139,0.439689,0.305382,0.535849,2
0.640718,0.258974,0.008357,0.268482,0.418023,0.586164,1
0.592814,0.258974,0.997214,0.252918,0.385482,0.611321,1
0.592812,0.282051,0.869081,0.175097,0.514393,0.628931,1
0.580839,0.279487,0.94429,0.194553,0.387985,0.63522,1
0.568861,0.307692,0.885794,0.22179,0.509387,0.645283,1
0.574851,0.328205,0.846797,0.11284,0.387985,0.636478,1
0.562874,0.323077,0.949861,0.225681,0.340426,0.632704,0
0.550898,0.323077,0.841226,0.210117,0.319149,0.627673,0
0.520958,0.361538,0.810585,0.307393,0.249061,0.640252,0
0.479043,0.425641,0.768802,0.2607,0.249061,0.650314,0
0.485029,0.446154,0.696379,0.171206,0.266583,0.660377,0
0.502994,0.425641,0.604457,0.163424,0.252816,0.661635,0
0.502994,0.364103,0.061281,0.14786,0.335419,0.661635,0
0.497006,0.297436,0.061281,0.229572,0.235294,0.65283,0
0.532934,0.248718,0.13649,0.315175,0.091364,0.640252,0
0.574851,0.220513,0.130919,0.396887,0.204005,0.606289,0
