@relation dataset371

@attribute id numeric
@attribute bone_length numeric
@attribute rotting_flesh numeric
@attribute hair_length numeric
@attribute has_soul numeric
@attribute color {clear,green,black,white,blue,blood}
@attribute type {Ghoul,Goblin,Ghost}

@data
31,0.465094,0.439323,0.249337,0.197382,green,Ghost
32,0.55451,0.630669,0.592484,0.615364,white,Goblin
33,0.523729,0.318483,0.330146,0.427402,green,Goblin
34,0.558196,0.580363,0.772734,0.37074,black,Ghoul
35,0.456371,0.456208,0.236332,0.300486,blue,Ghost
36,0.394958,0.573941,0.479094,0.482693,white,Ghost
37,0.636347,0.501061,0.737795,0.695589,clear,Ghoul
38,0.564282,0.4195,0.682931,0.47269,white,Ghoul
39,0.28805,0.60378,0.473956,0.408294,black,Ghost
40,0.41511,0.434616,0.707469,0.526319,white,Ghoul
41,0.456935,0.627141,0.463794,0.436216,black,Ghost
42,0.534266,0.569504,0.506611,0.268315,white,Ghost
43,0.384958,0.615732,0.569545,0.455285,black,Goblin
44,0.314143,0.421751,0.690889,0.435245,white,Ghoul
45,0.287193,0.530852,0.466725,0.299993,green,Goblin
46,0.481716,0.527251,0.74027,0.700857,blood,Ghoul
47,0.268141,0.665224,0.234944,0.321623,clear,Ghost
48,0.362887,0.648725,0.631184,0.445045,clear,Goblin
49,0.295229,0.331809,0.586854,0.490879,clear,Goblin
50,0.571619,0.431955,0.641309,0.462295,black,Ghoul
51,0.495467,0.551877,0.80933,0.907712,green,Ghoul
52,0.445132,0.932466,0.218732,0.043321,clear,Ghost
53,0.627652,0.840049,0.414816,0.488617,green,Goblin
54,0.397258,0.672985,0.551664,0.159367,white,Ghost
55,0.678519,0.476821,0.477152,0.489358,blue,Goblin
56,0.304302,0.463015,0.385387,0.219313,clear,Ghost
57,0.515275,0.582627,0.568721,0.534079,clear,Goblin
58,0.504236,0.620758,0.341074,0.348578,black,Ghost
59,0.512677,0.417474,0.678072,0.796332,white,Ghoul
60,0.622414,0.497614,0.465419,0.459141,clear,Goblin
61,0.208625,0.519235,0.619559,0.292131,green,Goblin
62,0.753505,0.511413,0.684979,0.501544,white,Ghoul
63,0.490988,0.545145,0.492527,0.302301,black,Goblin
64,0.665432,0.56487,0.595988,0.647142,white,Ghoul
65,0.609634,0.646037,0.243755,0.34824,black,Ghost
66,0.424969,0.240299,0.338678,0.088924,white,Ghost
67,0.644176,0.593844,0.728079,0.561782,clear,Ghoul
68,0.311418,0.815466,0.461068,0.127149,black,Ghost
69,0.227532,0.491082,0.616847,0.480046,black,Ghoul
70,0.315276,0.587053,0.446189,0.800853,white,Ghoul
71,0.390769,0.801721,0.205236,0.127877,white,Ghost
72,0.348991,0.564233,0.48119,0.177172,white,Ghost
73,0.510242,0.403365,0.69041,0.479525,green,Ghoul
74,0.586177,0.469534,0.764312,0.280854,white,Ghoul
75,0.480836,0.40793,0.539005,0.495069,clear,Goblin
76,0.498336,0.374374,0.579926,0.511726,clear,Goblin
77,0.237046,0.634643,0.290655,0.304283,white,Ghost
78,0.631327,0.411749,0.707609,0.769455,clear,Ghoul
79,0.501306,0.536995,0.631199,0.591106,clear,Ghoul
80,0.51856,0.808514,0.323921,0.574505,white,Ghost
81,0.48697,0.511617,0.365142,0.171539,white,Ghost
82,0.516814,0.463708,0.321867,0.009402,green,Ghost
83,0.485802,0.571908,0.656528,0.465085,black,Goblin
84,0.375197,0.742953,0.320764,0.24344,blue,Ghost
85,0.344087,0.244662,0.529963,0.377121,clear,Goblin
86,0.514717,0.446318,0.622489,0.782699,white,Ghoul
87,0.464591,0.715401,0.623506,0.296506,black,Goblin
88,0.52178,0.277627,0.701214,0.567563,clear,Ghoul
89,0.600898,0.41173,0.717727,0.531641,white,Ghoul
90,0.197071,0.455686,0.45149,0.417516,clear,Ghost
91,0.350838,0.454637,0.783001,0.674479,clear,Ghoul
92,0.378811,0.347287,0.664434,0.504179,clear,Goblin
93,0.440696,0.408872,0.541966,0.569011,white,Ghoul
94,0.619468,0.465614,0.367914,0.535858,black,Goblin
95,0.580303,0.179727,0.515927,0.623419,clear,Goblin
96,0.341539,0.689139,0.313948,0.055464,black,Ghost
97,0.365437,0.513115,0.468037,0.54609,green,Goblin
98,0.431501,0.349555,0.468936,0.194413,white,Goblin
99,0.313506,0.616803,0.396482,0.447946,blue,Ghost
100,0.471764,0.801465,0.230619,0.285067,black,Ghost
101,0.207874,0.545294,0.357987,0.484055,clear,Ghost
102,0.318316,0.661752,0.476469,0.233136,green,Ghost
103,0.305943,0.287523,0.336711,0.318033,white,Goblin
104,0.252513,0.479093,0.658847,0.330915,white,Goblin
105,0.519827,0.568441,0.434171,0.351851,clear,Ghost
106,0.450759,0.542649,0.795207,0.739429,white,Ghoul
107,0.452741,0.384133,0.305594,0.371807,blue,Goblin
108,0.440855,0.43271,0.643989,0.322236,white,Goblin
109,0.496734,0.532486,0.709708,0.649007,clear,Ghoul
110,0.298797,0.55337,0.306682,0.360853,white,Ghost
111,0.47673,0.24242,0.294214,0.317795,black,Goblin
112,0.53259,0.375698,0.553827,0.679403,clear,Ghoul
113,0.317938,0.65268,0.390057,0.293632,green,Ghost
114,0.489132,0.481304,0.482691,0.460081,white,Goblin
115,0.480941,0.742555,0.329061,0.429933,white,Ghost
116,0.365032,0.524358,0.3284,0.325906,white,Ghost
117,0.453869,0.259701,0.5814,0.567843,blood,Goblin
118,0.295575,0.433779,0.462629,0.036457,clear,Ghost
119,0.587571,0.44806,0.706312,0.583415,clear,Ghoul
120,0.273458,0.463239,0.453515,0.33639,white,Goblin
121,0.339501,0.336981,0.492441,0.345592,white,Goblin
122,0.572494,0.516335,0.463063,0.291004,white,Ghost
123,0.505375,0.327578,0.650431,0.528015,green,Goblin
124,0.472059,0.493986,0.556691,0.56372,clear,Ghoul
125,0.373305,0.769033,0.540549,0.495466,white,Ghost
126,0.411353,0.492621,0.437745,0.276163,green,Ghost
127,0.38773,0.659535,0.356108,0.550968,green,Goblin
128,0.444009,0.416513,0.718762,0.508057,clear,Ghoul
129,0.351315,0.466134,0.756594,0.609223,black,Ghoul
130,0.434998,0.412613,0.753331,0.612577,green,Ghoul
131,0.609161,0.717767,0.658848,0.466372,white,Ghoul
132,0.667182,0.41414,0.51871,0.456213,clear,Ghoul
133,0.617832,0.280868,0.527576,0.697268,clear,Goblin
134,0.358311,0.621728,0.559499,0.761621,blue,Goblin
135,0.584177,0.44535,0.714323,0.650264,clear,Ghoul
136,0.324769,0.27711,0.800646,0.359682,clear,Goblin
137,0.297148,0.531544,0.312002,0.3827,clear,Goblin
138,0.351562,0.45749,0.547977,0.36837,white,Goblin
139,0.416152,0.418087,0.802077,0.454922,clear,Ghoul
140,0.379548,0.33662,0.513244,0.371015,white,Goblin
141,0.384235,0.393451,0.353746,0.490884,white,Goblin
142,0.598166,0.593741,0.357188,0.26016,green,Ghost
143,0.369274,0.74483,0.653939,0.675961,white,Goblin
144,0.534988,0.477419,0.719351,0.447444,clear,Ghoul
145,0.303391,0.476217,0.597167,0.292293,clear,Ghost
146,0.326295,0.514599,0.381655,0.420199,white,Ghost
147,0.424493,0.273026,0.393657,0.363907,clear,Goblin
148,0.528987,0.496139,0.716997,0.332592,white,Goblin
149,0.527762,0.68587,0.584435,0.557136,clear,Goblin
150,0.421217,0.549165,0.474128,0.425993,clear,Ghost
151,0.332905,0.494895,0.474788,0.514944,blood,Ghost
152,0.291816,0.4984,0.587628,0.237966,clear,Ghost
153,0.669419,0.672588,0.883088,0.524492,clear,Ghoul
154,0.32153,0.456823,0.320145,0.415155,white,Ghost
155,0.559825,0.649088,0.759295,0.656943,white,Ghoul
156,0.329668,0.331999,0.396429,0.507142,clear,Goblin
157,0.40688,0.46449,0.538146,0.600827,white,Goblin
158,0.250523,0.650506,0.384925,0.385882,blood,Ghost
159,0.192909,0.50409,0.383679,0.307534,clear,Ghost
160,0.306695,0.543905,0.253029,0.385887,green,Ghost
161,0.389928,0.402729,0.474255,0.419319,white,Goblin
162,0.252733,0.458746,0.596835,0.683089,clear,Goblin
163,0.630471,0.581029,0.647251,0.505213,clear,Ghoul
164,0.476769,0.438414,0.586394,0.583394,clear,Goblin
165,0.430797,0.444787,0.630184,0.611013,white,Goblin
166,0.817001,0.400808,0.437047,0.64823,green,Ghoul
167,0.497317,0.47158,0.39177,0.367689,black,Goblin
168,0.403995,0.682687,0.372529,0.49952,clear,Ghost
169,0.224798,0.606908,0.446721,0.412233,white,Ghost
170,0.446041,0.236142,0.620912,0.61272,clear,Goblin
171,0.481141,0.69681,0.162611,0.453465,blood,Ghost
172,0.594994,0.52743,0.40363,0.286794,white,Goblin
173,0.327031,0.608481,0.310469,0.356699,green,Ghost
174,0.061032,0.578567,0.41544,0.497098,black,Ghost
175,0.145071,0.39506,0.333884,0.286773,clear,Ghost
176,0.540806,0.323365,0.690605,0.69848,white,Ghoul
177,0.100945,0.695565,0.235669,0.064468,white,Ghost
178,0.453214,0.475223,0.558776,0.230523,black,Goblin
179,0.489628,0.552183,0.679624,0.62703,black,Ghoul
180,0.340442,0.531701,0.428498,0.263063,white,Ghost
181,0.306044,0.53135,0.26659,0.30763,white,Ghost
182,0.510704,0.602932,0.539945,0.766311,green,Ghoul
183,0.50729,0.708174,0.259167,0.209129,white,Ghost
184,0.571502,0.315792,0.765131,0.575139,clear,Goblin
185,0.498438,0.653783,0.378707,0.708981,white,Goblin
186,0.208885,0.399537,0.421704,0.2168,black,Ghost
187,0.271735,0.595191,0.176882,0.28729,clear,Ghost
188,0.452126,0.636626,0.162715,0.099904,white,Ghost
189,0.565521,0.422097,0.598682,0.642406,clear,Ghoul
190,0.308755,0.705034,0.643468,0.58375,clear,Ghoul
191,0.471201,0.568542,0.515442,0.388791,black,Goblin
192,0.681615,0.529227,0.625242,0.615308,white,Ghoul
193,0.248854,0.554872,0.50632,0.089402,green,Ghost
194,0.465423,0.095687,0.406791,0.364341,black,Goblin
195,0.367419,0.575229,0.474942,0.448402,white,Ghoul
196,0.730848,0.536456,0.408066,0.787513,clear,Ghoul
197,0.525485,0.667703,0.380717,0.455845,white,Goblin
198,0.399839,0.723971,0.36058,0.363912,white,Ghost
199,0.415142,0.620149,0.313793,0.418053,white,Ghost
200,0.566424,0.43111,0.684599,0.575277,white,Ghoul
201,0.296605,0.352157,0.90181,0.541123,green,Ghoul
202,0.421721,0.320303,0.427802,0.533696,white,Ghoul
203,0.517632,0.347566,0.427275,0.625824,white,Goblin
204,0.272523,0.389352,0.164074,0.594088,white,Ghost
205,0.328344,0.679934,0.353277,0.179438,green,Ghost
206,0.357145,0.489931,0.69819,0.753687,clear,Ghoul
207,0.622124,0.5856,0.595529,0.5565,black,Goblin
208,0.396298,0.460407,0.515815,0.476212,white,Goblin
209,0.227948,0.501056,0.47112,0.698965,white,Goblin
210,0.439063,0.490515,0.654721,0.405319,green,Goblin
211,0.523833,0.280965,0.475647,0.664576,white,Ghoul
212,0.403619,0.559011,0.589784,0.429466,green,Goblin
213,0.408238,0.740914,0.348937,0.348661,white,Ghost
214,0.46902,0.621063,0.641631,0.598485,white,Goblin
215,0.322304,0.551659,0.849211,0.517091,white,Ghoul
216,0.505597,0.451094,0.683994,0.792072,white,Ghoul
217,0.310462,0.567681,0.1944,0.264562,white,Ghost
218,0.390145,0.554114,0.55197,0.317077,black,Ghost
219,0.489446,0.415485,0.825953,0.503475,white,Ghoul
220,0.168909,0.648866,0.303927,0.25544,clear,Ghost
221,0.285022,0.492315,0.720678,0.689885,clear,Goblin
222,0.250293,0.408878,0.456618,0.466024,white,Goblin
223,0.431185,0.221793,0.491535,0.299511,green,Ghoul
224,0.339569,0.44149,0.448989,0.756766,clear,Goblin
225,0.518231,0.494491,0.545443,0.600393,black,Ghoul
226,0.515985,0.491497,0.901467,0.448064,white,Ghoul
227,0.524138,0.578163,0.621787,0.689326,blue,Goblin
228,0.475316,0.52921,0.307358,0.230361,clear,Ghost
229,0.627734,0.652067,0.655644,0.459123,green,Ghoul
230,0.614899,0.779153,0.428717,0.79241,white,Ghoul
231,0.275021,0.689975,0.586513,0.402749,clear,Goblin
232,0.52441,0.400343,0.749886,0.762676,white,Ghoul
233,0.334552,0.500769,0.682656,0.627086,clear,Ghoul
234,0.284451,0.220268,0.357405,0.316073,white,Goblin
235,0.336573,0.243092,0.253459,0.545023,white,Goblin
236,0.451085,0.464508,0.505819,0.50901,black,Goblin
237,0.523789,0.657317,0.818979,0.624504,white,Ghoul
238,0.654488,0.439392,0.621121,0.740199,green,Ghoul
239,0.304519,0.301329,0.54588,0.313645,clear,Goblin
240,0.49961,0.436475,0.591752,0.659622,clear,Ghoul
241,0.482716,0.561481,0.531423,0.560659,clear,Ghoul
242,0.367799,0.637446,0.416354,0.41593,clear,Ghost
243,0.323613,0.431312,0.205097,0.257617,clear,Ghost
244,0.391036,0.506061,0.252296,0.347765,black,Ghost
245,0.364817,0.811583,0.332546,0.161255,white,Ghost
246,0.184181,0.631607,0.453163,0.431742,white,Ghost
247,0.269748,0.627138,0.195365,0.367902,blue,Ghost
248,0.200753,0.277945,0.568534,0.556149,clear,Ghoul
249,0.755298,0.475932,0.965569,0.635935,white,Ghoul
250,0.587142,0.420426,0.561271,0.627068,white,Goblin
251,0.160465,0.696646,0.408945,0.217147,white,Ghost
252,0.430801,0.533614,0.52856,0.368148,white,Ghoul
253,0.427218,0.545423,0.63965,0.604801,clear,Goblin
254,0.251932,0.649031,0.164321,0.300659,white,Ghost
255,0.404424,0.464504,0.504417,0.409003,clear,Ghost
256,0.588413,0.656242,0.835501,0.636101,clear,Ghoul
257,0.395576,0.79859,0.330822,0.204004,white,Ghost
258,0.586227,0.464284,0.599774,0.856757,blue,Ghoul
259,0.47632,0.286226,0.488843,0.411461,clear,Goblin
260,0.385219,0.71222,0.39188,0.417344,white,Ghost
261,0.502229,0.504399,0.263549,0.121687,white,Ghost
262,0.209997,0.497112,0.642451,0.327212,blue,Goblin
263,0.622371,0.385204,0.308995,0.295509,white,Ghost
264,0.51443,0.308411,0.533296,0.450843,white,Goblin
265,0.381058,0.704168,0.514749,0.436537,white,Goblin
266,0.50378,0.92944,0.366461,0.401567,blue,Ghost
267,0.374148,0.34459,0.63634,0.248143,clear,Ghost
268,0.49171,0.463629,0.559444,0.435188,clear,Goblin
269,0.403727,0.364366,0.609004,0.487301,white,Goblin
270,0.423953,0.614569,0.58421,0.65533,clear,Goblin
271,0.184172,0.715131,0.1346,0.227068,blood,Ghost
272,0.390669,0.84112,0.195072,0.307668,clear,Ghost
273,0.515397,0.561786,0.528818,0.373502,white,Ghoul
274,0.613365,0.489438,0.580808,0.599846,white,Ghoul
275,0.355087,0.444024,0.535344,0.246347,clear,Goblin
276,0.246415,0.409596,0.538642,0.084829,green,Ghost
277,0.184383,0.478937,0.374396,0.52173,green,Ghost
278,0.416577,0.458523,0.768333,0.654006,clear,Goblin
279,0.529985,0.259702,0.713236,0.599668,white,Ghoul
280,0.476466,0.534581,0.342816,0.526785,clear,Goblin
281,0.590384,0.514358,0.714815,0.613114,white,Ghoul
282,0.406834,0.45531,0.287008,0.641681,white,Ghoul
283,0.332134,0.577321,0.44586,0.409526,clear,Ghost
284,0.761355,0.33148,0.86106,0.735897,green,Ghoul
285,0.405703,0.623273,0.298569,0.161127,white,Ghost
286,0.468841,0.517418,0.620956,0.624848,clear,Goblin
287,0.479818,0.569762,0.721362,0.491938,blood,Ghoul
288,0.46249,0.574844,0.598097,0.467447,black,Ghoul
289,0.493395,0.501552,0.660367,0.605897,clear,Ghoul
290,0.417253,0.624973,0.328752,0.279668,blood,Ghost
291,0.232301,0.425967,0.577819,0.733816,white,Ghoul
292,0.476892,0.478592,0.40363,0.544587,blue,Ghoul
293,0.167798,0.812293,0.507361,0.414697,clear,Ghost
294,0.35824,0.370775,0.667384,0.740579,blood,Ghoul
295,0.630585,0.539712,0.30558,0.77752,blue,Ghoul
296,0.440998,0.234051,0.576912,0.509368,white,Goblin
297,0.500523,0.390166,0.457503,0.346474,clear,Ghost
298,0.371422,0.508111,0.59112,0.578714,white,Goblin
299,0.354047,0.540752,0.57121,0.243775,clear,Ghost
300,0.173607,0.589613,0.363439,0.614158,white,Ghost
301,0.577809,0.500339,0.756629,0.854949,white,Goblin
302,0.194655,0.45684,0.414884,0.288053,white,Ghost
303,0.68708,0.53609,0.751614,0.72596,blue,Ghoul
304,0.757138,0.556602,0.760736,0.57026,black,Ghoul
305,0.540088,0.481532,0.71748,0.694784,white,Ghoul
306,0.534001,0.595992,0.85014,0.794247,green,Ghoul
307,0.521237,0.608728,0.946612,0.676993,white,Ghoul
308,0.528536,0.58914,0.651217,0.412176,white,Ghoul
309,0.337804,0.378093,0.694287,0.543536,clear,Goblin
310,0.387011,0.527047,0.765752,0.610298,white,Ghoul
311,0.444006,0.424189,0.549613,0.447517,green,Goblin
312,0.600557,0.454213,0.556331,0.693149,clear,Ghoul
313,0.32251,0.434101,0.59588,0.609616,white,Goblin
314,0.4173,0.377595,0.541834,0.349087,clear,Goblin
315,0.483905,0.569917,0.634768,0.506433,clear,Goblin
316,0.421934,0.250401,0.851171,0.580753,clear,Ghoul
317,0.554662,0.208676,0.653855,0.408937,white,Goblin
318,0.417776,0.35243,0.604264,0.40919,white,Ghoul
319,0.422322,0.673089,0.829372,0.577836,white,Ghoul
320,0.342585,0.261752,0.582865,0.510331,clear,Goblin
321,0.187781,0.736491,0.344348,0.346306,clear,Ghost
322,0.217248,0.498718,0.331531,0.523283,white,Ghost
323,0.413576,0.356863,0.65854,0.464002,clear,Goblin
324,0.649559,0.507846,0.734855,0.546648,blood,Ghoul
325,0.571056,0.729873,0.421166,0.785423,clear,Ghoul
326,0.541181,0.370581,0.791226,0.482913,white,Ghoul
327,0.516004,0.527508,0.354857,0.760432,white,Ghoul
328,0.396988,0.611109,0.507214,0.179642,blood,Ghost
329,0.383489,0.552048,0.526421,0.70331,black,Ghoul
330,0.511593,0.72936,0.492918,0.803195,black,Ghoul
331,0.361867,0.56568,0.419227,0.519361,white,Ghost
332,0.664432,0.35884,0.666816,0.540097,white,Goblin
333,0.168644,0.313009,0.443639,0.5398,clear,Ghost
334,0.377756,0.593537,0.595629,0.532594,clear,Goblin
335,0.376473,0.646372,0.609449,0.384293,clear,Ghost
336,0.279875,0.65642,0.629068,0.29206,white,Ghost
337,0.320175,0.691929,0.564494,0.489491,white,Ghoul
338,0.439625,0.51418,0.816122,0.651491,clear,Ghoul
339,0.488632,0.548473,0.598621,0.544566,black,Ghoul
340,0.320364,0.212538,0.592559,0.34399,white,Goblin
341,0.323805,0.505963,0.496038,0.659684,white,Goblin
342,0.626615,0.389805,0.620758,0.712549,white,Ghoul
343,0.624388,0.661235,0.574458,0.6423,blue,Goblin
344,0.165196,0.716798,0.468755,0.253624,clear,Ghost
345,0.712913,0.531892,0.756465,0.453634,clear,Ghoul
346,0.346283,0.158742,0.714987,0.322676,white,Goblin
347,0.332374,0.605206,0.299235,0.570073,black,Ghost
348,0.355313,0.344684,0.555728,0.638232,blood,Goblin
349,0.502599,0.604174,0.617955,0.593545,clear,Ghoul
350,0.203073,0.165539,0.299507,0.425802,clear,Ghost
351,0.552971,0.341187,0.644801,0.415394,white,Goblin
352,0.49614,0.377488,0.647238,0.465689,green,Ghoul
353,0.362567,0.639753,0.536248,0.427678,white,Goblin
354,0.356999,0.671331,0.296784,0.68998,black,Ghost
355,0.440133,0.391157,0.571983,0.431373,clear,Goblin
356,0.445547,0.241139,0.558614,0.399302,green,Goblin
357,0.434891,0.66716,0.798618,0.460061,green,Ghoul
358,0.440432,0.309498,0.203057,0.194105,clear,Ghost
359,0.626017,0.172182,0.408422,0.644941,blue,Ghoul
360,0.467785,0.420135,0.631894,0.386509,clear,Ghoul
361,0.501022,0.584847,0.65623,0.469886,clear,Ghoul
362,0.377449,0.466158,0.497351,0.393305,clear,Goblin
363,0.507583,0.799623,0.33452,0.344403,white,Ghost
364,0.486744,0.462666,0.840013,0.353383,clear,Goblin
365,0.406062,0.449944,0.788983,0.428553,white,Ghoul
366,0.458132,0.39176,0.66059,0.635689,blue,Goblin
367,0.331936,0.564836,0.539216,0.551471,green,Ghost
368,0.48164,0.501147,0.496446,0.544003,clear,Ghoul
369,0.294943,0.771286,0.583503,0.300618,clear,Ghost
370,0.6702,0.768469,0.737274,0.608384,white,Ghoul
